Job Code,Job Title,Position Summary,Education,Work Experience,Essential Functions,Licenses and Certifications,"Knowledge, Skills and Abilities"
80218,Oper Printing and Copying Lead,"Performs various duties required to ensure printing, copying and mail is processed accurately and completed on time. ","High School Diploma or equivalent Required
Non-Degree Program Must successfully complete coursework in graphic design (local technical school, paid by MNPS) within 12 months of accepting position Preferred", Two years directly related experience working in a high volume printing/copying operation Preferred,"Sets up and operates all machines located within the print or copy shop.
Works with external vendors on larger projects, overseeing the entire process from initial contact and quote acquisition to order fulfillment.
Manages the billing for the department, ensuring precise and prompt invoicing.
Answers phones and interfaces with customers regularly.
Conducts regular inventory check of printing and copying supplies.
Keeps mail/copy/print shop area neat and organized.
Performs regular quality control inspections on all facets of mail/copy/print operations.
Delivers completed jobs, when necessary.","DL NUMBER - Driver License, Valid and in State Valid Tennessee driver’s license  Required",
88156,Teacher Ex Ed Interventionist,"Provides direct, explicit research-based interventions in addition to supporting access to core instruction for students who have an Individualized Education Program (IEP).",Master's Degree from an accredited institution in a related field Preferred, Professional training and paid or volunteer experience with individuals with disabilities is Preferred,"Provides direct, explicit, evidence-based academic, social-emotional, and behavioral interventions based on student needs in addition to core instruction.
Collaborates and helps facilitate and develop Functional Behavioral Assessments & Behavioral Intervention Plans based on student need.
Provides intensive intervention with fidelity and Progress monitors all students that receive intensive intervention in the area of academics, social-emotional and behavior to continually communicate progress toward goals with students, parents and school teams.
Utilizes all naturally occurring data (i.e. attendance, behavior incidence, universal screening, intervention data, progress monitoring data) to ensure the most updated relevant information is used to inform instruction, intervention and a student's Individual Education Program (IEP).
Ensures students with an Individualized Education Program participate in the Universal Screening Process and in required statewide test with appropriate accommodations.
Manages and provides inclusive support in the general education setting for students with a need, which includes providing indirect support, aligning accommodations, and modifications and managing para-professional support in the general education setting.
Attends grade-level/content meetings to assist with planning access to core instruction and meaningful inclusive supports that help ensure the least restrictive environment for students.
Coordinates the delivery of services for students with disabilities with all related service providers (i.e.  speech and language therapist, occupational therapist, physical therapist, nurse).
Develops and Implements Individual Education Programs (IEPs) for students, and ensures service delivery and progress of students in compliance with State and Federal laws governing services for students with disabilities.
Facilitates IEP meetings, re-evaluation meetings, and manifestation determination meetings in accordance with State and Federal laws governing services for students with disabilities.
Collaborates with related service providers, school leadership and families to schedule timely meetings that ensure all relevant data, assessment and information can be collected in accordance with State and Federal laws governing services for students with disabilities.
Participates in ongoing Professional Development activities to ensure the use of most effective, evidenced-based practices that promote success for students.", Must hold or be eligible for a certificate or license issued by the Tennessee Department of Education with a Special Education Interventionist K-8 endorsement (144) and/or Special Education Interventionist 6-12 endorsement (145)  Required,"Thorough knowledge of the principles, practices and procedures of special education and/or specialty area.
Thorough knowledge of the principles and methodology of effective teaching of students with disabilities.
Communication, and collaboration with Parents, educators, students,
Instructional strategies that connect the curriculum to the learner,
Student management,
Presenting to large groups,
Organization, data-based decision making, and problem solving,
Providing intensive intervention,
Knowledge of the U.S. Department of Education’s Individuals with Disabilities Education Act (IDEA) or similar federal regulation.
Technology skills: Teams, Microsoft Office, Excel, SharePoint, iOS, and/or other district applications or equipment as needed."
85236,Spec IT Enterprise Support Resource II,"Works cooperatively with departmental staff as well as other departments within the district and external users or vendors of MNPS. Works within the established policies and procedures of MNPS and current federal, state, and local laws. Manages wired line and wireless services as well as business grade and multifunction copier procurement and services and works with end users to resolve issues.",Bachelor's Degree  in related field Required,1-3 years working in a technology focused medium to large size business Required,"Coordinates the required contracts for eligible services, application filing, and annual funding processes related to our Federal eRate service applications to ensure proper procedures for filing are met, to ensure that legal obligations by the district are maintained and to investigates and provide official responses to service and/or payment inquires posed by the Universal Services Administrative Company (USAC).
Manages wired line and wireless services to ensure proper coverage and functionality are met, managers relations with and resolves customer service issues with the providing vendor(s) and acts as the point of coordination for contract renewal specifications and contract renewal process.
Manages business grade and multifunction copier procurement and services to ensure user functionality requirements are met, manages relations with and resolves customer service issues with the providing vendor(s) and acts as the point of coordination for contract renewal specifications and contract renewal processes.
Coordinate with the appropriate Enterprise Network Operations team members to compile hardware and services required to bring internet access to each MNPS facility.
Create technical specifications and language to be used in each contract with vendors, that will provide those identified services to MNPS, and that correlate to the areas of responsibility of the Technology Services Department.
Track all open contracts coordinated and requested by the Technology Services Department and ensure a timely replacement of expiring contracts are in force prior to expiration dates and ahead of any vendor transition periods identified.
Work with end users to resolve operational issues or technical matters in the areas of responsibility.
Complete reporting as scheduled to meet federal or local requirements and where needed for internal MNPS staff or external vendors in the areas of responsiblity.
Maintain records in accordance with all Federal, State and Local laws and ordinances.",,"Ability to read and understand legal contract documents.
Process monthly invoices.
Track large sums of money accurately and communicate effectively with internal and external users on a highly technical level.
Work with end users to obtain functional requirements.
Read, interpret, and apply complex technical publications, manuals, and other documents.
Establish and maintain effective working relationships with staff.
Respond promptly to requests of internal and external clients; provide needed information, assistance, training, materials and resources."
80154,Clerk Front Desk Bilingual,Assists in providing registration services to NELB students and support for families.  Schedules appointments and provide excellent customer service to immigrant families and others.  Must be fluent in English and Spanish.,High School Diploma or GED Required,,"Provide great customer service to all visitors to the EL Office.
Provide students and families information and assistance in the assessment and registration process. Verifies all required registration documents for NELB students and parents.
Responsible for answering calls and providing information or directing to the appropriate person.
Maintains files and paperwork for the International Student Registration Center.
Provides translation services when necessary.
Assist students and families in identifying and obtaining assistance from  social and community services.
Assists with clerical duties in the EL Office.
Perform other duties as needed.",,"Must be fluent in English and Spanish.
Proficiency in Microsoft Word, Excel and Outlook required."
80125,Coach Ex Ed,"The exceptional education coach works to build school capacity to serve students with disabilities by providing ongoing, onsite technical and instructional support to administrators, teachers, and other school personnel. ",Master's Degree  Preferred,,"Build capacity of school to provide quality Instruction and Intervention to students with disabilities.  
* Provide guidance and model instruction as part of the inclusive model as well as most intensive intervention.  
* Complete classroom observations, and model effective instruction/intervention with the purpose of providing timely feedback to teachers so they grow in their practice. 
* Partner and support schools including all teachers as well as other school personnel to improve effective practices, specifically inclusive service delivery as well as most intensive interventions that will enhance learning for students with disabilities. 
* Provide ongoing professional development/PLCs for each building served.  Lead required school based PLCs to improve instruction and intervention at assigned schools.
* Work with administrators to identify and seek out other needed professional development opportunities.
Build Capacity of school to analyze and use data to make data based decision
* Provide guidance on how to use data to determine needs of students and align data with PLEPS/MAGS and progress monitoring
* Provide support to school on how to use data to make school level programming decisions and how to use data to develop appropriate scheduling options. 
* Reviews data with administrators and teachers to plan lessons, instruction, and service delivery options (including scheduling focused on student needs).
* Link data and instruction to TEAM evaluation to support teachers on how to improve in a non-evaluative supportive way.
Build school capacity to ensure teachers and building are in compliance and are continuously improving supports and services to students with disabilities. 
* Assists schools in compliance in accordance with State and Federal laws governing services for students with disabilities.
* As needed, participate in IEP meetings and manifestation determination meetings.
* Promote EasyIEP help desk as a way to build capacity in the building regarding compliance concerns
* Build teams capacity to facilitate their IEP own IEP meetings as if you were only a participant. 
* Scaffold compliance and IEP meeting facilitation so the school is working toward owning the process.
Build school level capacity to provide timely referrals, screening, and delivery of services to students as well as alignment of Instructionally Appropriate IEPs.  
* Coordinates the referral, screening, and delivery of services for students with disabilities.
* Weekly check-ins with coordinator to discuss instructional plans, significant cases of concern and is collaborative in problem solving building level concerns.
* Provides timely support on IAIEPs and required to monitor 10 IEPs from each school quarterly using the IAIEP rubric as way to provide ongoing support to teachers and administrators.
Build school capacity to implement behavior intervention plans with fidelity, collect data and improve on effective practices.
* Provides assistance with development of behavioral intervention plans.
* Work closely with the school psychologist, speech and language therapist and other school level coaches to determine needs of students in the building.  Work with team on antecedents, behavior and consequences.
* Collaborate with your team before referrals are made to the district behavior team.  
* Collaborate with the school level MTSS (RTII) team on academics and behavior", Certified in education in Tennessee  Required,
88391,Teacher CTE Family and Consumer Sciences,To teach secondary level students in one or more Career and Technical Education (CTE) subjects. Incorporates current knowledge of industry practices and trends.,Master's Degree from an accredited institution in a related field Preferred, Prior teaching experience Preferred,"Plans daily lessons to meet the needs of a diverse student population with clearly defined and communicated objectives based on the state standards.
Adapts and modifies teaching methods and instructional materials to meet students' varying needs and interests. Collaborates with colleagues, instructional support roles, and student support personnel as necessary to support all student’s academic progress.
Creates a positive, equitable learning environment that focuses on both student growth and achievement.
Establishes and enforces rules of behavior and procedures for maintaining order in their classroom. Confers with parents or guardians, other teachers, counselors, and administrators to resolve students' behavioral and academic problems.
Designs and implements a variety of assessments that measure progress towards academic standards and identifies gaps in learning. Uses formative and summative assessment data to refine curriculum and adjust instructional practices.
Prepares materials and classrooms for class activities, homework assignments, and aligned student experiential learning.
Participates in collaborative curriculum development and grade-level and/or school activities.
Participates as a CTE representative on school or academy Advisory Boards.
Participates in ongoing professional development activities."," Must have a current Tennessee Teaching certificate or be in an eligible alternative licensure program. Endorsement for Family and Consumer Sciences. Current code: 154 Family and Consumer Sciences, retired codes include: 050 and 051  Required","Thorough knowledge of the principles and methodology of effective teaching of students
Thorough knowledge of the principles, practices and procedures of CTE education and/or specialty area
Instructional strategies that connect the curriculum to the learner,
Communication and collaboration with Parents, educators, students and others
Student management,
Organization, data-based decision making, and problem solving,
Technology skills: Teams, Microsoft Office, Excel, SharePoint, iOS, and/or other district applications or equipment as needed."
84851,Dir Facility Planning & Construction,"Develop, lead, direct, and administer the district's Capital Improvement Program.  The position is responsible for supervising and directing the programming, design, construction, and commissioning of new buildings, additions to existing buildings, and renovations and repair projects; Collaborating with the Procurement Department to procure Land, Architectural and Engineering Services, and Construction Services; and the oversite of all elements required to bring each project to full operation. The position develops and implements programs within organizational policies and reports major activities to executive level administrators through conferences and reports. The position will also work with the Chief Financial Officer and/or Chief Operating Officer to develop, prepare and present to the Board of Education the annual Capital Improvement Budget Request.  Attendance at Board meetings is required, as well as attendance at Metro Council and relating to facility issues and capital projects, community meetings as needed.","Bachelor's Degree in Architecture, or equivalent experience as required for a State of Tennessee Architecture License Required","10+ years Related experience as a Licensed Architect, including experience at the management level Required","Supervises and assists a staff of Project Managers and administrative personnel to assure that the technical, man-hour, and schedule targets are met, records of all design and construction expenditures are properly maintained and submittal of plans and specifications from architects and engineers are reviewed to ensure requirements of the individual school projects are met.
Oversees and prepares annual Capital Improvement Budget request for approval by Board, and coordinates submittal of budget to Metro Nashville Planning and Finance Departments. Reviews and approves all invoices for capital improvement projects. Administers contracts between the Board of Public Education and the architects and general contractors to ensure that all work is carried out in the best interest and polices of the Public Schools.
Supervises and reviews facility condition surveys and uses that data to update Ten Year Facility Master Plan.
Reviews, approves, and oversees the Departments’ Manuals of Procedures, Designers Guide, Technical Specification Guidelines, and Educational Specification for the Districts’ Elementary, Middle and High Schools. Recommends proposals involving new or revised policies and procedures which will insure a more effective and efficient operation of the design and construction department.
Provides in-house architectural design for small projects not required to have an affixed architectural license stamp.
Reports, as requested, the progress of each project to the School Board and the Metro Council, indicating time schedules and dollars spent as well as the overall progress of Capitol Improvements, including participation of small and disadvantaged businesses.
Supervises the communication of the MNPS Design and Construction Program through a public web site, and other means.  Works with the Communications Department to develop and execute community engagement events related to school location, design, construction and zoning.
Works in concert with the Maintenance Department to establish practices, procedures, and standards for efficient and sustainable buildings and building components. Coordinates with the Facility and Grounds Maintenance Department on issues relating to energy use and an energy conservation program."," Tennessee Professional Architecture License, or License from another state within 1 Year Required","Requires knowledge of public bid requirements, contract administration, minority and small business diversity programs, and local and federal codes and regulations.
Must possess excellent communication, mathematical, management, and leadership skills; self-starting; proactive to problem solving."
83857,Coord Student Support,"The Student Support Coordinator will work to support the Student Support vision, programming and supports for all schools supported in the Schools of Innovation network. The Student Support Coordinator will partner with the SOI team, with district team members, and external partners to build and deepen the student support vision for all schools in priority status. In addition, the coordinator will coordinate programming and meet the TDOE student support goals. He/she will manage the training, communication, and goal tracking for this program.","Master's Degree Counseling, psychology, education or related field Required"," Experience in the area of student support, mental health, and behavior modifications Required","Consults with network team, EDSSIs, network behavior specialists, principals and staff concerning student support needs of the network and of clusters of schools. Provides guidance in integrating student support initiatives into the school.
Creates and works collaboratively with other departments and external partners for the integration of district wide student support needs aligned with the TDOE three-year improvement plan for MNPS.
Coordinates, collaboratively designs, and implements schools of innovation professional development sessions address the student support goals and support network instruction using best practices, including research on theory and content standards.
Works with schools of innovation team to define short-term and long-term network goals of the student support program in alignment with the TDOE three-year improvement plan for MNPS. Uses data to make decisions and adjustments to the student support programs.
Research and develop innovative partnerships to meet the student support needs demonstrated by Schools of Innovation.
Coordinates and organizes Schools of Innovation network SEL walk throughs and culture of learning walk throughs in support of schools’ improvement plan and the network’s three-year improvement plan.
Coordinates external and internal partnerships and their support work within the Schools of Innovation as well as coordinate multiple internal and external resources with the student support staff inside of each school of innovation.",,"Has knowledge of social and emotional learning research, evaluation, strategies, theories, techniques, and methods of instruction.
Understands, the five social and emotional learning core competencies; successful experience designing and delivering professional development;
Ability to engage a variety of stakeholders;
Ability to work independently and in collaboration with other teams;
Strong interpersonal skills and the ability to create trusting relationships;
Strong organizational skills with outstanding attention to detail;
Proficient in MS PowerPoint, Word, and Excel."
81420,Coord Program Grant,"The grant project coordinator will be the key person that ensures that all components and required activities are completed by their deadline, in accordance with the funded CDC-1807 grant. ","Master's Degree in Educational Leadership, Public Health or Public Administration, or a related field Required", Evidence of prior grants management experience and  knowledge of the Division and Adolescent and School Health best practices  Preferred,"Implementation of all required activities outlined in the CDC-1807 grant (Safe and Supportive Environments, Sexual Health Education, and Sexual Health Services) that must be completed within the five year grant period.
Tracking & Monitoring of the required grant activities to include the budget, reporting, and documentation to the grantor.
Coordination of cross-departmental goals and expectations with Curriculum & Instruction, School Nurses, School Counselors, Social Workers, School principals and staff, student services department and all CDC-1807 partners and contractors.
Assist in the oversight of the Lead Wellness teacher and the SEL Counselor that are connected to the grant.
Collaboration with internal and external partners, such as teachers, parents and community partners.
Communication - Communicates and relates well with internal and external stakeholders (schools, parents, central office, community partners/contractors and grantor).
 Utilization of a quality improvement approach to analyze data, implement proper programming or professional development, and revise as needed.",,Previous direct budget and grant management experience.
88126,Teacher Social Studies Government,"The Teacher utilizes current strategies and theories to plan, organize and implement structured lessons to instruct K12 students.",Master's Degree from an accredited institution in a related field Preferred, Work experience gained through education and certification/license requirements Required,"Instruct students in an in-person classroom environment through lectures, discussions, visual aids, instructional strategies, and other effective teaching methods for student comprehension.
Prepares lessons and outlines to use in class that effectively cover the material.
Plan and conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate.
Administers various types of assessments to monitor student’s comprehension of the material.
Assist students who need extra help with tutoring. Guides and counsels students with adjustment or academic problems or special academic interests.
Collaborates with other teachers and administrators to develop, evaluate, and revise academic programs following approved curricula.
Utilizes instructional technology, audio-visual aids, and other equipment and materials to enhance student learning.
Performs various administrative duties such as taking attendance, organizing the classroom, and responding to emails and phone calls from parents, school administrators, and staff in a timely manner.
Observe and evaluate students' performance, behavior, social development, and physical health.
Attends in-person faculty meetings, teacher training workshops and educational conferences to maintain and improve professional competence.
Maintain accurate, complete, and correct student records as required by laws, district policies, and administrative regulations.",Teaching Certification/License From Tennessee Department of Education with applicable endorsement Upon Hire Required,"Excellent writing and communication skills
Instructional strategies that connect the curriculum to the learner
Student Management
Demonstrated ability to work well with students, staff, and parents in a professional manner
Ability to be flexible and adapt as needed between in-person learning environments.
Knowledge of school safety & security procedures
Ability to work under pressure and meet deadlines"
82560,Advisor Inventory Control,"Coordinates inventory management for assigned schools and district departments.  Collaborates with other inventory staff to improve inventory processes, make recommendations regarding inventory software changes, and insures data integrity regarding inventory reconciliation.  Advises liaison inventory staff on best practices, resolving issues, and processes to complete inventory counts with accuracy and timeliness.",High School Diploma or equivalent Required, Minimum of two (2) years’ applicable experience working in a large company  Required,"Trains district on the use of the inventory system along with the policies and procedures related to the tracking of inventory.
Troubleshoots and reconciles inventory issues.
Performs periodic inventory audits. Facilitates and assists with annual physical inventories and periodic unannounced cycle counts.
Manages inventory for assigned schools and other central office locations.
Collaborates with peers on where systems, procedures and policies could better be designed or employed to make the inventory process more stable or easier to use and works with management to implement these changes.
Leads school and Central Office personnel in accomplishing accurate and timely inventories.
Uses data analysis to make decisions. Recommends changes for improving the inventory system and procedures.
Provides management with reports necessary to determine the effectiveness of the inventory system and procedures employed.", Valid Tennessee driver's license  Required,A proficiency in asset management and inventory control required.
80422,Teacher Grade 7 English Language Arts,"The Teacher utilizes current strategies and theories to plan, organize and implement structured lessons to instruct K12 students.",Master's Degree from an accredited institution in a related field Preferred, Work experience gained through education and certification/license requirements Required,"Instruct students in an in-person classroom environment through lectures, discussions, visual aids, instructional strategies, and other effective teaching methods for student comprehension.
Prepares lessons and outlines to use in class that effectively cover the material.
Plan and conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate.
Administers various types of assessments to monitor student’s comprehension of the material.
Assist students who need extra help with tutoring. Guides and counsels students with adjustment or academic problems or special academic interests.
Collaborates with other teachers and administrators to develop, evaluate, and revise academic programs following approved curricula.
Utilizes instructional technology, audio-visual aids, and other equipment and materials to enhance student learning.
Performs various administrative duties such as taking attendance, organizing the classroom, and responding to emails and phone calls from parents, school administrators, and staff in a timely manner.
Observe and evaluate students' performance, behavior, social development, and physical health.
Attends in-person faculty meetings, teacher training workshops and educational conferences to maintain and improve professional competence.
Maintain accurate, complete, and correct student records as required by laws, district policies, and administrative regulations.",Teaching Certification/License From Tennessee Department of Education with applicable endorsement Upon Hire Required,"Excellent writing and communication skills
Instructional strategies that connect the curriculum to the learner
Student Management
Demonstrated ability to work well with students, staff, and parents in a professional manner
Ability to be flexible and adapt as needed between in-person learning environments.
Knowledge of school safety & security procedures
Ability to work under pressure and meet deadlines"
84163,Architect Enterprise Solutions,Responsible for analysis and technical design related to helping customers solve complex challenges. Identify and qualify opportunities for improving processes.  Provides leadership and analysis related to enterprise architecture.  Supports the architecture roadmap by providing solutions that drive business improvement. Communicates best practices to team members and leadership effectively.,Bachelor's Degree In Information Technology or related field Preferred,"1-3 years Related IT discipline (software development, networking, or database development) Required","Analyze data and data models to solve business challenges effectively and efficiently.
Evaluate proposed changes and communicate to stakeholders on the potential impact of solutions being considered.
Understand how to effectively and efficiently re-engineer business processes.
Design future state solutions to current state architecture
Understand technology trends and practical application of how to integrate into business assets.
Analyze the business/IT environment to detect and solve opportunities for improvement.
Consult with application developers on software development best practices.
Document all solution architecture work as artifacts.",,"Knowledge of relational database models
An understanding of technology and how it can impact the business operations.
An understanding of risk and how to mitigate its impact on a project or solution.
Identifying issues and finding efficient solutions.
Ability to design and articulate solutions that solve business problems.
Must be able to diagnose and solve problems effectively
Knowledge of agile software development methodologies.
Ability to work independently with minimal supervision.
Ability to collaborate with cross-functional teams/departments.
Must have good written and oral communication skills.
Demonstrated skills and actual examples of models built using enterprise frameworks."
80599,Supv Campus,"Ensures safety and security of students and school property within the school district.  Observes student activities for safety, patrols hallways during the school day and oversees the daily release of students to their parents or guardians.  The position works under direct supervision according to set procedures.",High School Diploma GED or vocational training Required, Requires six months of related experience Required,"Observes students and visitors to ensure the safety of the school.
Conducts and evaluates fire drills.
Oversees the daily arrival of students.
Patrols school hallways during school hours to ensure that only authorized visitors are in the building.
Observes students in the cafeteria during lunch periods.
Oversees the daily release of students to their parents and/or guardians.
Communicates with school officials to receive instruction and relay information.",,
85435,Coord Neglected and Delinquent,"The Neglected and Delinquent Coordinator is responsible for compliantly implementing services for children in MNPS who have been assigned to facilities that are eligible for services.  Additionally, the job will require ongoing facilitating and consultation with a variety of stakeholders. ",Master's Degree  Preferred,10+ years Public School Teaching Experience Required,"Develops and maintains a positive rapport with leadership of eligible neglected and delinquent facilities.
Consults with neglected and delinquent facilities to determine program needs and to develop individual budgets.
Works with Grants Management Team to develop a compliant fiscal process to secure goods and services for eligible facilities.
Evaluates the effectiveness of programs in participating facilities.
Generates reports on regular and ad hoc basis for the purpose of sharing with all stakeholders.
Facilitates ongoing communication with all stakeholders to ensure compliance with federal, state, and local laws, regulations and guidelines.
Attends all relevant professional development to provide ongoing growth for Federal Programs staff.
Works with relevant district office personnel to develop, implement, and support transition plans for students in neglected and delinquent facilities.",Teaching Certification/License Tennessee Teaching License with Administrative License  Required,"Excellent oral and written communication skills
Knowledge of Federal Programs
Ability to interact with a variety of stakeholders
Understanding of general compliance guidance surrounding federal grants
Experience with budgets"
87747,Secretary Clerk II Vision and Hearing,"Secretary Clerk II Vision and Hearing will provide clerical services for Exceptional Education Department, dividing time between two locations (Vision 2 days and Deaf/Hard of Hearing 3 days). Secretary will order materials/equipment for students' need per IEP. Secretary maintains inventory for all equipment for Vision/Hearing. Secretary will rely on computer skills to upload, scan and organize digital files for staff.",High School Diploma or GED Required, Minimum of two years of applicable experience Required,"Maintain Vision/Hearing Offices by managing copier, paper supply and other needed office supplies. Complete purchase requisitions as needed for each department.
Maintain Hearing and Vision Screening Materials for Department of Special Education with guidance from Lead Teachers of each Department.
Maintain digital inventory specific to Hearing and Vision Services.
Request interpreters as needed, schedule and maintain calendar of appointments for hearing screenings.
Maintain digital inventory with all assistive technology for both departments.
Process all American Printing House for the Blind orders through RCVI.
Prepare teacher materials, such as copying, cutting, sorting, laminating, enlarging, etc. as well as send requested materials to teachers/schools.
Work with Audiologist to schedule hearing evaluation appointments and support Audiologist during appointments as needed.
Surplus broken equipment or send equipment to be repaired or replaced through requisitions.
Obtain medical records from ophthalmologists and audiologists with proper release of parent consent.
Manage digital files and calendar programs.
Order supplies and equipment for Audiology, mail equipment to appropriate companies for repair or review.",,"Be proficient in Microsoft Suite (Word, PowerPoint, Excel, Outlook, etc.).
Experience with or ability to learn SharePoint, One Drive, and Teams platform.
Must have experience in scanning and uploading digital documents as well as faxing and sending certified mail."
85203,DIR HS Athletics,"Direct, lead, and oversee the district Interscholastic Athletics Program at the high school level. The position is responsible for planning, organizing, and directing the daily operation of the District's Interscholastic Athletics Program for high schools and supervising and evaluating the performance of assigned personnel. The position develops and implements programs within organizational policies and TSSAA standards; reports major activities to executive level administrators through conferences and reports. ",Bachelor's Degree  Required," emonstrated understanding of secondary school athletics (principals, practices, rules, training requirements) and in-depth understanding of TSSAA policies Required","Designs, develops, and reviews system policies, procedures, and practices, training materials, and information bulletins related to high school athletics as well as implementation of TSSAA standards and rules and provides them to principals and coaches through multiple and on-going methods.
Collaborates with appropriate personnel in developing the district’s Interscholastic Athletics Program budget and athletics fundraising strategies and allocating budget and other funds.
Coordinates activity of district review committee to finalize recommendations from principals for head football and basketball coaches to be approved by the Director of Schools.
Oversees the daily operations of the district’s Interscholastic Athletics Program for high schools including maintaining up to date coaching rosters for all sports and up to date calendar of all sporting events in one centralized database for the district; coordinates the work of the athletic directors and coaches at participating school sites; oversees the hiring and payment process for non-faculty coaches across the district in accordance with established procedures.
Assures provision of continuing coaching educational opportunities, including preparation of coaching education handbooks as needed.
Monitors new and proposed legislation having potential impact on assigned programs. Represents the District with community officials, state and federal agencies in matters related to assigned programs.
Cultivates and maintains positive imaging campaigns for MNPS scholar athletes for all current sports while in season.
Responsible for coordinating logistics and operations for any district events related to high school athletics such as jamborees and/or tournaments and annual banquets; coordinates with district security to ensure all events are staffed appropriately for safety and reviews security contractor performance with appropriate supervisors.
Schedules time appropriately to attend practices and games on a regular basis.
Uses appropriate forms and reporting mechanisms while in attendance at practices and games to gauge school compliance with district protocols and expectations. Informs principals and executive directors of compliance concerns in a timely manner and follows up with both to ensure correction.
Collaborates with the Office of Facilities, Construction and Grounds Maintenance, site personnel and other district staff regarding field and gym design, equipment options, and planning for new schools and for improvement of existing facilities to assure safety and compliance with state and local regulations and guidelines.
Collaborates with and provides directions for the work of individuals and groups in the community interested in athletics, including providing logistical support to after school sports programs organized by community groups and approved by the Superintendent.",,"Exceptional conceptual, analytical, organizational, and management skills.
Excellent oral and written communication and interpersonal skills.
Passion for sports and education, and an understanding of the development of young athletes.
Must be able to work with outside organizations, principals, and appropriate others in implementing district and TSSAA policies."
86915,Principal HS,"Supervises staff and oversees direct operation of the assigned high school.  Responsible for staff supervision, instructional and extra-curricular programs, budget, discipline, student safety, student/personnel data, public relations, technology systems, facilities, supplies and equipment, and reporting.  Develops and implements programs within organizational policies; reports major activities to executive level administrators through conferences and reports.  Attends or conducts staff, committee, PTA and other professional meetings to exchange information; attends professional classes, seminars, or conferences to improve professional skills.
","Master's Degree in Elementary Education, Educational Administration, or a closely related field Required",  5 full years of certificated experience (inclusive of 2 years of leadership experience as an Assistant Principal or comparable experience leading adults – Central Office and other leadership considered) Required,"Supervises staff, including selecting or recommending selection, training, assigning and evaluating work, counseling, disciplining, and terminating or recommending termination.
Provides leadership in planning, developing, implementing, and evaluating instructional programs; supervises school financial and business matters.
Develops, prepares and administers approved departmental budget; monitors and approves expenditures; prepares financial forms and reports.
Establishes and maintains positive public relations with staff members, students, parents, and community; meets with students, parents and teachers to resolve issues/problems.
Reviews and makes recommendations on proposed policies and/or changes in existing policies; implements policies as approved by the Board of Education; enforces policies and procedures for student discipline and protects students’ rights.
Gathers and maintains information/data to support periodic and special reports documenting activities for area of responsibility. Maintains record system for area of responsibility; process daily paperwork including reports, memos, requisitions, and personnel information. Supervises compilation of student data, including report cards, transcripts, and attendance.
Sets guidelines and supervises school clubs and organizations affiliated with the school. Schedules classes and extra-curricular activities for students; coordinates safety inspections and safety drill activities; provides logistic support for school transportation.
Monitors and oversees use of materials and equipment by school personnel; ensures proper maintenance of school facilities."," ILL-B or ILL-P TN Administrative License (current w/ the completion of the Praxis), External candidates with administrator licensure will be reviewed for eligibility Upon Hire Required",
80340,Analyst Financial Operations III,"This position is responsible for performing a variety of analytical tasks to support the financial operations department.  Performs complex accounting work using accepted practices and procedures in maintaining and preparing accounting records, receivable functions, and other financial analysis. Directly acts as a supervisor for the accounts receivable staff, acting as a backup during any absences.",Master's Degree in accounting or business administration Required, 5 - 7 years in accounts receivable or a similar financial role Required,"Supervises and manages accounts receivable staff serve as backup during absences.
Serve as backup for the accounts receivable staff during any absences.
Improve financial status by analyzing results; monitoring variances; identifying trends; and recommending actions to management.
Interacts with staff, other MNPS departments, schools, and external agencies to ensure accuracy of accounts.
Analyze information, evaluate results for best resolution, and respond to inquiries, and provide accounting support.
Monitors and reconcile accounts including receivable projects and WEX gas fuel accounts.
Collects, enters, update, and maintains account information.
Perform monthly billing of facility use activities i.e. reconcile billing, invoicing, payment posting, etc.
Contribute to team effort by accomplishing related results as needed.",,
85647,Officer Discipline Hearing,Helps students transition to and from assigned schools and Alternative learning Centers. Serves as a hearing officer for student due process hearings. Provides support for identified at risk students.,Master's Degree in Educational Administration or equivalent Required, Five years of school administration experience Required,"Provides Due Process to students expelled through the Level 1 hearing process
Provides proactive student support through the informal hearing process.
Provides student support as a transition liaison for students returning to their assigned school from the ALC.
Maintain written records of the decisions from all Level I appeal hearings
Weekly follow-up with students once they are placed in the ALC
Contact parents of expelled students who are scheduled to return to school at the beginning year
Bi-weekly follow-ups with students who have transition back into their school of zone.", Certificated Administrator license  Required,
80232,Mgr Special Projects,"Works independently as a project manager, plans and supervises the work of special projects.",High School Diploma or GED Required, Minimum of five years’ applicable experience in project management  Required,"Independently coordinates and directs multiple projects.
Works directly with stakeholders to keep projects on task with scope and sequence.
Monitors reports and assures the work is completed according to the project’s timeline.
Assures all stakeholders are compliant and works with the department to assure any issues are corrected.
Establishes and maintains working relationships with others; organize and prioritize work effectively.
Manages work teams.
Monitors project status and keeps management informed of project obstacles.
Creates and analyzes project reports.", Valid Tennessee Driver’s License  Required,
