Job Title,Position Summary,Education,Work Experience,Essential Functions,Licenses and Certifications,"Knowledge, Skills and Abilities",job_title_original,new_job_title,major_role_group,minor_sub_group,grouping_justification
Assoc Classroom,"AssociateóClassroom works directly in a classroom to fill vacancies created when teachers are absent or on leave from the workplace. AssociateóClassroom will need to be flexible in filling short-term and/or long-term needs of a school. They may be asked to cover prep periods, provide lesson plans, engage in student supervision and/or instruction, proctor or administer student assessments, grade lessons or exams and enter results into records, attend parent conferences, collaborate with instructional team for planning, or other related duties.",Bachelor's Degree or a minimum of 60 college credits from an accredited institution verified by an original transcript. Such alternatives to the above qualifications as the Director of Schools may find appropriate and acceptable Required,1-3 years work experience  Required,"Perform various instructional support tasks as assigned to facilitate the effective teaching of applicable subject matter and to maintain appropriate classroom environment. Provide tutoring/intervention services for students, as needed.
Work with instructional leaders to plan daily lessons to meet the needs of all students. Adapt teaching methods and instructional materials to meet studentsí varying needs and interests.
Follow the daily schedule (academic and supervisory), class rolls, lesson plans, and other information for the dayís activities as provided by the classroom teacher or school administration.   Proctor and grade examinations or lessons and enter results into the appropriate classroom records. Record attendance according to school policy.
Establish and enforce rules of behavior and procedures for maintaining effective classroom management to encourage student participation, minimize distractions, and maintain a positive learning environment.
Participate in meetings and/or assisting with school events as required
Supervise students both in and out of the classroom.
Establish and maintain satisfactory, respectful working relationships within the school environment and comply with all MNPS policies and state and federal laws.",,"Ability to communicate orally and in writing with students, parents, and others
Ability to plan, organize and establish priorities related to assignment.
Basic understanding and knowledge of current technology
Ability to handle sensitive information in a confidential manner.
Knowledge of School Board policies and practices as they relate to teaching.
Ability to handle problems, concerns and emotional distress with sensitivity and tact.
Ability to maintain appropriate student supervision so that students have a safe and orderly environment in which to learn.
Ability to assist in writing and following through with Individual Education Plan (IEP) goals.
Ability to work effectively with peers, administrators and others.
Ability to work independently and make decisions with minimum supervision.
Ability to handle multiple tasks in a professional and courteous manner.
Ability to answer a telephone in a professional and courteous manner.",Assoc Classroom,Classroom Associate I,Associate,I,"The position summary, essential functions and implied responsibilities align with a supporting role in a classroom environment. The education, work experience, licenses and Knowledge, Skills and Abilities attributes indicate it is an entry-level position within the 'Associate' major role group and assigned a minor sub-group of 'I'. This classification aligns with typical roles that provide assistance in classroom settings, focusing on foundational support tasks."
Counselor ES,"he Elementary School Counselor is a certified professional responsible for delivering comprehensive counseling services to students in grades Pre-K through 5, as assigned by the principal. This role requires effective use of data from Infinite Campus, Data Warehouse, and other district SIS systems to support school improvement goals and address students' academic, career, and social-emotional development. The counselor must ensure the accuracy of student records, transcripts, schedules, and academic plans to support a successful transition to middle school. Strong communication and customer service skills, along with a high level of reliability and attention to detail, are essential.
",Master's Degree in counseling from an accredited institution Required,,"Delivers comprehensive, data-driven counseling programs, activities, and targeted interventions to support academic, career, and personal/social development; advocates and intervenes on behalf of at-risk students, addressing immediate needs impacting their success.
Actively supports district and school improvement goals focused on student growth, achievement, and college and career readiness, including promoting advanced academic participation and aligning programs with NOSCA competencies.
Regularly administers needs assessments, documents counseling activities and student interactions, analyzes data from Early Warning Indicators, and completes program accountability reports demonstrating the effectiveness of strategies and interventions.
Consults and collaborates with school specialists (psychologists, social workers, nurses), community-based resources, parents, teachers, administrators, and stakeholders to remove barriers to student success, address student needs, and close achievement gaps.
Facilitates smooth student transitions between educational tiers through collaboration with early learning centers and middle schools; provides orientation programs and clearly communicates testing results and implications to students and families.
Develops and leads staff development activities, provides educational programming for parents and community stakeholders, and actively participates in professional growth opportunities to stay current on best practices and district initiatives.
Ensures confidentiality and accuracy of student and staff information, adhering strictly to state laws and district policies; displays professional behavior, positive attitudes, punctuality, flexibility, and ethical standards, serving as a role model within the school community.
Performs duties related to emergency and crisis situations, serves as a member of the district crisis team when needed, and readily responds to directives, changes, and emerging needs with timeliness and positivity.","  This position requires Tennessee State Certification/License in school counseling
  Required",,Counselor ES,Elementary School Counselor I,Counselor,I,"The position summary, essential functions and implied responsibilities align with the major role group 'Counselor' due to its focus on providing guidance and support to students in an educational setting. The minor sub-group 'I' is assigned as there is no indication of advanced levels or specialization in the provided description. The classification is based on the assumption that this is an entry-level counseling role in an elementary school, requiring foundational knowledge and skills in counseling, as well as relevant certifications typically required for school counselors. This is support by review of the education, work experience, licenses and Knowledge, Skills and Abilities attributes."
Counselor HS,"The High School Counselor holds a certified position which provides comprehensive counseling services in grades 9-12 based on Academy assignment or by team/grade level as assigned by the principal. The HS counselor must manage, analyze, and utilize data from Infinite Campus, Data Warehouse, SMS and other district SIS databases to meet school improvement goals and students' academic, career and  social-emotional needs.  The job requires a person that is responsible, reliable, dependable and who understands the imperative to ensure that students' transcripts, schedules, academic, college, and career plans are accurate and lead to successful graduation and transition to post-secondary institutions. In addition, the HS counselor must have excellent customer service and communication skills.

",Master's Degree in counseling from an accredited institution Required,,"Delivers comprehensive counseling services, activities, programs, and interventions critical to the academic, career, and personal/social development of all students. Supports district and school improvement goals for student growth and achievement, and college and career readiness including the five characteristics of a high school graduate.
Knowledgeable in state and district graduation requirements as well as guidelines in the Student Progression Plan. Informed in the MNPS Academy structure and promotes student engagement and success within the Academy.
Develops a written, annual plan which is data driven and includes measurable goals which are appropriately scoped and sequenced based on the needs of the school and students. Completes program accountability documents as assigned by the Office of School Counseling.
Utilizes the Early Warning Indicators to implement targeted interventions for at-risk students. Administers needs assessments regularly to identify and prioritize school and student needs. Advocates and intervenes on behalf of each student whose immediate needs, concerns, or problems are distracting or impeding his/her academic, career, and/or social-emotional development.
Guides students through the development of a four year/postsecondary plan via Collegefortn.org. Supports district strategic plan including initiatives and programs to address student needs (i.e. HERO liaison, SEL, PBL, Olweus, PBIS, cluster support meetings, etc.). Enters data on the Supports and Intervention page after every student contact.
Consults and collaborates with school system specialists such as school psychologists, social workers, and nurses; consults with and refers to community-based resources including psychologists, psychiatrists, physicians, service agencies, and others.
Actively increases student participation in Dual Enrollment, Advanced Placement, International Baccalaureate, Honors, Virtual and other advanced coursework. Aligns college and career readiness initiatives to the A6 Framework and the NOSCA college and career readiness competencies.
Collaborates with middle school personnel to ensure a smooth transition from middle school to high school. Provides orientation activities for incoming students and parents. Informs students and parents of tests results and their implications for educational and career planning. Provides for the systematic and efficient dissemination of current, accurate information needed by students and/or parents as they develop their educational and/or career plans.
Uses the skills of leadership, advocacy and collaboration to create systemic change to improve the academic success of all students. Protects confidentiality of records and information about students and staff.  Must use discretion and adhere to all state laws and district policies when sharing any such information.
Performs related duties as assigned for emergency and/or crisis procedures; serves on the district crisis team when needed.  Attends trainings as needed to learn new procedures or increase ability in use of data, technology, and other district initiatives. Pursues professional growth by attending state and district workshops/conferences; keeps abreast of new information, innovative ideas and techniques.
Displays the highest ethical and professional behavior in working with students, parents, school staff, and outside agencies associated with the school.  Serve as a role model for students and staff demonstrating positive attitudes, appropriate attire and grooming, arriving on-time to work/meetings and maintaining an effective work ethic.","  This position requires Tennessee State Certification/License in school counseling

  Required",,Counselor HS,High School Counselor I,Counselor,I,"The position summary, essential functions and implied responsibilities align with the major role group 'Counselor' due to its focus on providing guidance and support to highschool students. The classification is based on the assumption that this is an entry-level counseling role in an high school, requiring foundational knowledge and skills in counseling, as well as relevant certifications typically required for school counselors. This is support by review of the education, work experience, licenses and Knowledge, Skills and Abilities attributes."
Counselor MS,"The Middle School Counselor holds a certified position which provides comprehensive counseling services in grades 5-8 based on team/grade level as assigned by the principal. The MS counselor must manage, analyze, and utilize data from Infinite Campus, Data Warehouse, and other district SIS databases to meet school improvement goals and students' academic, career and  social-emotional needs.  The job requires a person that is responsible, reliable, dependable and who understands the imperative to ensure that students' transcripts, records, schedules, academic, college, and career plans are accurate and lead to successful transition to high school. In addition, the MS counselor must have excellent customer service and communication skills.

",Master's Degree in counseling from an accredited institution Required,,"Delivers comprehensive counseling services, activities, programs, and interventions critical to the academic, career, and personal/social development of all students.
Supports district and school improvement goals for student growth and achievement, and college and career readiness including the five characteristics of a elementary school student.
Knowledgeable in state and district graduation requirements as well as guidelines in the Middle School Student Progression Plan.
Informed in the MNPS Academy structure at the high school level.
Develops a written, annual plan which is data driven and includes measurable goals which are appropriately scoped and sequenced based on the needs of the school and students.
Completes program accountability documents as assigned by the Office of School Counseling.
Utilizes the Early Warning Indicators to implement targeted interventions for at-risk students.
Administers needs assessments regularly to identify and prioritize school and student needs.
Advocates and intervenes on behalf of each student whose immediate needs, concerns, or problems are distracting or impeding his/her academic, career, and/or personal/social development.
Supports district strategic plan including initiatives and programs to address student needs (i.e. HERO liaison, SEL, PBL, Olweus, PBIS, cluster support meetings, etc.)
Enters data on the Supports and Intervention page after student contacts.
Consults and collaborates with school system specialists such as school psychologists, social workers, behavior analysts, truancy specialists and nurses; consults with and refers to community-based resources including psychologists, psychiatrists, physicians, service agencies, and others.
Actively increases student participation in advanced academic courses.
Aligns college and career readiness initiatives to the NOSCA college and career readiness competencies for the middle school tier.
Collaborates with elementary and high school personnel to ensure a smooth transition from tier to tier.
Provides orientation activities for incoming students and parents.
Informs students and parents of tests results and their implications for educational and career planning.
Conducts structured, goal-oriented counseling sessions to meet the identified needs of individuals and groups of students.
Plans and conducts staff development programs and activities as well as educational programming for parents and the community.
Demonstrates program accountability using data to document the results of strategies and interventions that are used to improve student academic performance.
Partners with administrators, teachers, students, parents, and the community to remove barriers to student success and to close the achievement gap.
Uses the skills of leadership, advocacy and collaboration to create systemic change to improve the academic success of all students.
Protects confidentiality of records and information about students and staff.  Must use discretion and adhere to all state laws and district policies when sharing any such information.
Understands and follows oral and written directives accurately, timely, and with a positive attitude.
Ensures accuracy of input and output data.
Always meet schedules and timelines.
Performs related duties as assigned for emergency and/or crisis procedures; serves on the district crisis team when needed.
Attends trainings as needed to learn new procedures or increase ability in use of data, technology, and other district initiatives.
Displays the highest ethical and professional behavior in working with students, parents, school staff, and outside agencies associated with the school.  Serve as a role model for students and staff demonstrating positive attitudes, appropriate attire and grooming, arriving on-time to work/meetings and maintaining an effective work ethic.
Readily reacts to change in a positive manner.
Pursues professional growth by attending state and district workshops/conferences; keeps abreast of new information, innovative ideas and techniques.
Guides students through the development of a Collegefortn.org student account.
Provides for the systematic and efficient dissemination of current, accurate information needed by students and/or parents as they develop their educational and/or career plans."," This position requires Tennessee State Certification/License in school counseling

  Required",,Counselor MS,Counselor Specialist I,Counselor,I,"The position summary, essential functions and implied responsibilities align with the major role group 'Counselor' due to its focus on providing guidance and support in a middle school setting. The minor sub-group 'I' is assigned as there is no indication of advanced levels or specialization in the provided description. The classification is based on the assumption that this is an entry-level counseling role in an middle school, requiring foundational knowledge and skills in counseling, as well as relevant certifications typically required for school counselors. This is support by review of the education, work experience, licenses and Knowledge, Skills and Abilities attributes."
Engineer IT Enterprise Systems,"Coordinates system development and implementation tasks to include design, integration and formal testing of newly implemented and upgraded systems.  Oversees all transitions of new or upgraded systems into production status. Develops and completes actions in system specifications, technical and logistical requirements, and other disciplines. Creates and oversees the maintenance of programmatic and technical documentation to insure efficient planning, maintenance and execution of processes and procedures.  Manage and document system configurations and assist in the creation of and update to an agency-based solutions roadmap.  Actively resolve, or assist in the resolution of, daily support requests as needed.","Bachelor's Degree Computer Science, Engineering or a related subject Required
Master's Degree Computer Science, Engineering or a related subject Preferred", Minimum five years as a systems administrator or IT systems engineer in a medium to large corporate environment Required,"Provide oversight of data center compute, storage systems and supporting infrastructure including the installation, configuring, testing and maintenance of operating systems, application software and system management tools, for both on premise and cloud-based environments
Coordinate the maintenance of an as-built, system operations library with daily monitoring, operating and maintenance procedures ‚Äì which utilize industry best practices, industry accepted operating frameworks and develop resultant agency best practices and ongoing review schedules.
Maintain a knowledge of current and evolving technologies to provide guidance towards the development, implementation and maintenance of an agency-based technology roadmap
Continual maintenance of security solutions and procedures, including the operational strategies related to backup, redundancy, disaster recovery and business continuity
Communicate, as a liaison, with vendors and other IT personnel to resolve issues, coordinate upgrades, evaluate and implement new solutions
Competency in writing and maintaining custom scripts to increase system efficiency and lower downtime due to required human intervention
Collaborate with other MNPS teams and outside agencies to help design information and operational support systems to help meet and maintain district technology goals
Create technical, training and reference documents as required
Attend meetings and working sessions as required
Provide tier III (tier II as needed) technical support to other Technology Services Department staff",,"Ability to work under pressure and time constraints.
Strong coordination, organization, teaming and communication abilities.
Works well individually or in a group setting. Effectively directs employees.
Successfully presents technical information in both a technical and non-technical manner.",Engineer IT Enterprise Systems,IT Enterprise Systems Engineer I,Engineer,I,"The position summary, essential functions and implied responsibilities suggest a technical role focused on designing, implementing, and maintaining enterprise IT systems. Based on the functional alignment with KSACs and the provided education, work experience, licenses and certifications, the role is classified under the 'Engineer' major role group. The 'I' sub-group is assigned due to the absence of specific details indicating advanced experience or seniority. A guiding factor in this major group alignment was the role focus. MNPS KSACs suggest an Engineer role focuses on infrastructure and systems integration or application development and functionality while the Architect role concentrates on data structures, storage, and flow."
Engineer IT Software System,"To provide expertise and leadership to Enterprise Systems Department on current software development language standards and methodologies; and database structure and design.  To guide, mentor, and train Enterprise Systems staff in current industry standards for software design, development, implementation and analysis.  To provide consultation services to user departments and schools to ensure optimum software application system effectiveness, efficiency, and usability.","Bachelor's Degree or higher in fields of computer technology, software design, systems analysis, and other areas associated with information technology Preferred", Five to eight years of increasingly responsible related experience Required,"Works closely with Manager of Enterprise Development,   Manager of Business Intelligence, and the Enterprise Architect to determine district software needs through consultation, research, and business process analysis
Provides high level project management services to departments and schools, and leads Enterprise Development staff in the execution of software project management best practice
Works with user departments and schools to evaluate and implement technology to promote streamlined business process and improve user productivity
Continually researches and evaluates advances in software development tools, techniques, and strategies to improve staff efficiency and facilitate improvements in customer service
Manages and performs development tasks for themselves and others who may be assigned in development roles, including managing and prioritizing development impacts due to changes in baseline requirements through effective application of change control processes and tools
Utilizes and recommends commonly used technical development tools and system environments to promote quality software development across all projects, establishing technical best practice and promoting use and continuous improvement of all development techniques and processes
Promotes and enhances discovery and analysis techniques in order to obtain consistent and complete development requirements and specifications for planning, management, development and implementation purposes
Works to enhance and advance the development skills of all development staff through mentorship and training.  This includes the research and recommendation of technical training and educational opportunities in software development languages, methodologies, and strategies
Evaluates existing software application systems to determine how such systems can be improved both in function and presentation to improve user friendliness and efficiency
Works closely with Manager of Enterprise Development, Manager of Business Intelligence, and the Enterprise Architect in the development, documentation, and implementation of standard operating procedures for all aspects of software design, development, and implementation",,"High skilled in both oral and written communication.
Ability to serve as a leader and technical resource in software development best practices.
Ability to guide the efforts and activities of others to accomplish departmental goals.
Experienced in working closely with others, establishing and maintaining effective working relationships with department and school personnel.
Ability to analyze user needs, and create and put into action effective and efficient design, development, and implementation strategies.
Ability to decompose high-level business and user requirements into quality technical and architectural requirements.
Highly skilled in current software languages, database structures, and development techniques.
Ability to evaluate technical solutions and provide recommendations as to the best approach based on the issue and overall goals of involved stakeholders.
Ability to read, interpret, and follow complicated technical manuals and procedures.
Ability to maintain optimum productivity in high-pressure environment.
Ability to work independently, relying on oneís own experience and judgment to plan and accomplish goals.
Ability to work at a computer for long periods of time.
Ability to work elongated daily schedule as required.
Detailed knowledge to include but not be restricted to current software development techniques, languages, protocols, procedures
Information systems architecture
Project management best practice
Database architecture",Engineer IT Software System,IT Software Systems Engineer I,Engineer,I,"The position summary, essential functions and implied responsibilities align with the functional role of an Engineer, focusing on IT software systems. Based on a review of education, work experience, licenses and Knowledge, Skills and Abilities attributes, it has been classified as an entry-level position (I) within the Engineer role group. This classification assumes foundational responsibilities in IT software systems engineering, consistent with industry standards for similar roles. A guiding factor in this major group alignment was the role focus. MNPS KSACs suggest an Engineer role focuses on infrastructure and systems integration or application development and functionality while the Architect role concentrates on data structures, storage, and flow."
Psychologist Lead,Assists the supervising Exceptional Education Coordinator in the following manner: providing consultation and guidance with school psychologists regarding questions on procedures; managing day-to-day aspects of staff functions; assisting in the coordination of clerical activities; and planning for professional development., Minimum of Specialist in Education in School Psychology Required,10+ years Directly applicable and increasingly responsible experience as a school psychologist Required,"Provides school psychologists with support in technical and training issues, along with day-to-day questions that arise.
Assists supervising Exceptional Education Coordinator in providing the administrative support required by the Psychological Services Department, including assistance with TEAM observations for school psychologists.
Leads efforts to locate psychologists to substitute for displaced psychologists on emergency or leave situations.
Reviews psychological reports to ensure quality and consult with individual school psychologists as needed to address problematic issues.
Provides ongoing training, support and mentoring for apprentice level school psychologists.
Monitors and maintains test protocol supplies and prepare orders throughout the year as necessary under the supervision of the supervising Exceptional Education Coordinator.
Coordinates school psychologist assignments yearly with final approval from supervising Exceptional Education Coordinator.
Leads departmental efforts to research and secure appropriate assessment instruments and processes.
Keeps abreast of current practices in the field of school psychology.  Keeps supervisor apprised of changes effecting district operations."," Valid Tennessee Professional School Service Personnel certificate with an endorsement in the area of School Psychology  Required
 National Certification in School Psychology through the National Association of School Psychologists  Required
 Administrative endorsement  Preferred",,Psychologist Lead,Lead Psychologist,Psychologist,Lead,"The position summary, essential functions and implied responsibilities suggest a leadership position within the psychology field, overseeing other psychologists or managing psychological services. Review of education, work experience, licenses and Knowledge, Skills and Abilities attributes, there  is an implied responsibility of leading and coordinating team efforts. This classification is consistent with the MNPS Roles and KSACs documents, which emphasize functional team leadership roles."
Psychologist School Team,"MNPS school psychologists are members of school teams that promote prevention and early intervention through multi-tiered systems of support.  Their unique training makes them qualified to support schools in systems change, data based decision making and effective practices in the areas of academics, social-emotional learning and behavior.  They have a strong skill set in collaboration with families, teachers, school administrators, and other professionals to create safe, healthy, and supportive learning environments that strengthen connections between home, school, and the community.
",,,"Strong understanding of Multi-Tiered System of Supports (MTSS) for the purpose of interpreting the data, supporting equitable access to core instruction, aligning increasingly intensive interventions to a student‚Äôs individual need(s) and determining eligibility for exceptional educational services using the state of TN criteria.
Coordinate, facilitate and support school staff with the implementation of MTSS ensuring effective practices to assist students who experience academic, social and emotional difficulties.
Collaborate with other specialists (e.g., literacy specialists, behavioral analysts, occupational and physical therapists, counselors, speech-language pathologist, etc.) for the purpose of creating and delivering effective, evidence based supports to students.
Administer assessments for the purpose of measuring the cognitive, academic, adaptive, social and emotional development of students and/or determining eligibility for services in compliance with regulatory requirements.
Collaborate with other staff with aligning academic, social-emotional and behavioral interventions as well as supporting teams with continuous monitoring systems.
Compiles information from a variety of sources (i.e., administrators, teachers, nurses, parents, teachers, SLP) for the purpose of producing a comprehensive evaluation or screening report in compliance with established guidelines.
Collaborate and support families so they better understand their children‚Äôs learning and mental health needs.
Consult and collaborate with principals, teachers, and support personnel relative to specific educational and adjustment concerns, analysis and interventions.
Partner with families, teachers, school administrators, and other professionals to create safe, healthy, and supportive learning environments that strengthen connections between home, school, and the community.
Provide culturally responsive services to students and families from diverse backgrounds.
Participate in meetings, workshops and seminars as assigned for the purpose of conveying and/or gathering information required to perform functions.
Promote and support school-wide practices that ensure the safety of all students by reducing school violence, bullying and harassment.
Consult and support school teams for the purpose of creating smooth transitions to and from school and community learning environments, such as residential treatment centers or Alternative Learning Centers (ALCs).
Assist with crisis prevention and intervention services.","Licensed Psychologist  Upon Hire Required
 TDOE Upon Hire Required",Psychology | Counseling Techniques | Empathy,Psychologist School Team,School Psychologist I,Psychologist,I,"The position summary, essential functions and implied responsibilities suggest a 'Psychologist' major role group due to its focus on providing specialized psychological services within a school setting. The minor sub-group 'I' is assigned based on education, work experience, licenses and Knowledge, Skills and Abilities attributes and the lack of details around advanced  knolwdege or skills for this role. The classification is supported by the functional alignment with KSACs for roles requiring expertise in psychology, education, and student support."
Architect CCR Data II,"The Architect of CCR Data Systems II designs, implements, and maintains foundational data sources and models to produce user?friendly CCR reports (EPSOs, Ready Graduate metrics) under established guidelines. Working with moderate autonomy, they organize, store, and retrieve CCR dataócatching minor errors through frequent reviews to limit team level impact. This role collaborates with diverse stakeholders to enhance data access and literacy manages select projects, ensures dependable execution, and provides targeted coaching to team members. It bridges technical and educational perspectives to align data tools with organizational objectives.","Bachelor's Degree in an IT?related discipline Required
Master's Degree in an IT?related or data analytics discipline Preferred","4-6 years Progressive experience in data modeling and data analytics Required
2-4 years Progressive experience in leading teams Required","Design and maintain multi?source CCR dashboards and reports under established models and governance, integrating new data and validating quality; document processes and coach junior analysts through semi?routine review cycles to ensure accurate, timely insights with minimal team?level impact.
Design and deliver semi?routine tools, guides, and targeted training that enable CCR staff and school teams to interpret and act on data; implement real?time dashboards and predictive prototypes under established governance; coach junior analysts; and maintain resources through regular review cycles.
Collaborate with program leaders, school teams, IT, and RAE to tailor CCR data tools to strategic goals, implementation requirements, and school support needs, ensuring alignment through ongoing feedback and semi?routine reviews.
Design and maintain multi?source CCR dashboards and reports under established models and governance, integrating new data and validating quality; document processes and coach junior analysts through semi?routine review cycles to ensure accurate, timely insights with minimal team?level impact.
Collaborate with program leaders, school teams, IT, and RAE to tailor CCR data tools to strategic goals, implementation requirements, and school support needs, ensuring alignment through ongoing feedback and semi?routine reviews.
Analyze CCR data semi?routinely to identify access, participation, and success gapsóespecially for historically underserved groupsóby building focused reports and tools under established models. Collaborate with program leads to target interventions, catch minor data issues through routine validation, and coach junior analysts on tool upkeep to limit work?unit impact.
Provide semi?routine guidance and troubleshooting to coaching and technical?support staff serving CCR, Counseling, and school?based users: document support processes, resolve minor issues quickly under established guidelines, and mentor junior support staffóensuring dependable data tools for daily users with limited impact on the immediate work unit.",Certified Data Professional   Preferred,"Strategic systems thinking High
Deep understanding of enterprise tools and platforms High
Commitment to usability, security, and sustainability High
Ability to translate technical systems into operational solutions High
Collaborative leadership with cross-functional teams High",Architect CCR Data II,Data Architect II,Architect,II,"The position summary, essential functions and implied responsibilities suggest a role focused on data architecture, likely involving the design, management, and optimization of data systems. A review of education, work experience, licenses and Knowledge, Skills and Abilities attributes indicate an intermediate level of expertise and responsibility. Based on the functional alignment with KSACs, the role is classified under the 'Architect' major role group with a minor sub-group of 'II'. A guiding factor in this major group alignment was the role focus. MNPS KSACs suggest an Engineer role focuses on infrastructure and systems integration or application development and functionality while the Architect role concentrates on data structures, storage, and flow."
Architect CCR Data III,"The Architect of CCR Data Systems III leads the design and optimization of complex data and dimensional models to power CCR analytics across MNPS. With broad autonomy, they build and maintain advanced reporting, enforce robust standards, and serve as the technical escalation point for production incidents. Partnering with executive and program leaders, they translate strategic CCR goals into scalable roadmaps and architect complex data systems. They mentor and manage data architects and analystsósetting standards, conducting design reviews, and driving continuous improvementóto ensure reliable, timely insights that advance student success and district objectives.","Master's Degree Data Science or Information Systems related Required
Doctoral Degree Data Science or Data Analytics Preferred","5-7 years Related IT discipline (software development, networking, or database development) Required
3-5 years Progressive experience in leading teams Required","Lead design of district-wide grade reporting platforms and multi domain dashboards, ensuring scalable data integrations across CCR, Counseling, and district systems; define standards and mentor mid level architects, proactively resolving complex data issues to uphold district wide insights.
Spearhead design sessions with executive directors, district leaders, and external partners to define CCR data strategy; translate complex requirements into strategic roadmaps and drive iterative alignment across all business units.
Architect and oversee development of comprehensive, large scale data literacy frameworks and advanced analytics; lead curriculum design for professional learning, certify trainers, and manage continuous improvement of training programs.
Champion district wide analytics frameworks for strategic planning and accountability cycles; design self service analytics tools for leadership cohorts, monitor usage, and lead cross functional retrospectives to drive systemic course corrections.
Architect integration of CCR systems into the enterprise data platforms; define and enforce CCR data frameworks.
Lead district-wide equity analyses using data analytics to uncover systemic gaps; design and govern intervention tracking platforms; partner with district equity officers to drive strategic resource allocations; mentor analytics leads on methodology and bias mitigation.
Lead and manage a support team for CCR and Counseling systems; establish support standards; and oversee performance metrics and continuous improvement of support operations",,"Strategic systems thinking High
Deep understanding of enterprise tools and platforms High
Commitment to usability, security, and sustainability High
Ability to translate technical systems into operational solutions High
Collaborative leadership with cross-functional teams High",Architect CCR Data III,Data Architect III,Architect,III,"The position summary, essential functions and implied responsibilities suggest a focus on data architecture, which aligns with the 'Architect' major role group. A review of education, work experience, licenses and Knowledge, Skills and Abilities attributes indicate a higher level of expertise and responsibility, consistent with a senior-level position. Based on the functional alignment with KSACs, the role is classified under the 'Architect' major role group with a minor sub-group of 'III'. A guiding factor in this major group alignment was the role focus. MNPS KSACs suggest an Engineer role focuses on infrastructure and systems integration or application development and functionality while the Architect role concentrates on data structures, storage, and flow."
Spec IT Enterprise Support Network III,"Responsible for planning, engineering, design, and performance of the WAN, LAN, Telephony, Video conferencing, network security systems and networking components of the organization in a complex multi-protocol environment.  Leads and participates in technology related network projects.","Bachelor's Degree education or training equivalent to a Bachelorís degree in Information Technology, Computer Science, or a related field Required", Experience in a multi-facility medium to large business environment is Preferred,"Manages, evaluates, engineers, implements, configures and assists in maintaining the organizations LAN/WAN infrastructure, including routers, switches, VoIP/Video Conferencing services,  security devices, data center and aggregate egress
Maintains, updates, reviews and recommends additions and enhancements to the organizationís network and associated security, including firewalls, VPN connectivity, Intrusion Detection, LAN/WAN monitoring and Internet connectivity
Creates, updates and maintains documentation relating to proper implementation and maintenance of LAN/WAN infrastructure such as LAN/WAN diagrams, configurations, WAN circuit ID, traffic studies, inventory of network electronics, change control, etc.
Works closely with system administrators in design, implementation and support of enterprise applications
Creates, updates and maintains documentation relating to proper implementation and maintenance of LAN/WAN infrastructure such as LAN/WAN diagrams, configurations, WAN circuit ID, traffic studies, inventory of network electronics, change control, etc.
Monitors and advocates compliance with district technology policies and guidelines.
Prioritizes tasks and manages time to ensure continued end-user satisfaction and timely resolution to issues.
Participate and develop long-range planning activities for the voice and data communications network that will help to overcome barriers to student learning.","CCNP - Cisco Certified Network Professional   Preferred
CCNA - Cisco Certified Network Technician   Preferred",0,Spec IT Enterprise Support Network III,IT Enterprise Support Network Specialist III,Specialist,III,"The qualifications for the role do match those of other specialist roles, with a bachelorís degree in a field relevant to the essential functions required, as well as various specialized certifications preferred. The essential functions of the role also seem to match well with the KSACs for the specialist classification including subject matter expertise, specialized training, advanced technical skills, communication, collaboration, and regulatory compliance. Furthermore, due to the higher level and scope of the essential functions, such as managing, evaluating, and engineering the districtís LAN/WAN infrastructure and other related areas, and updating and recommending addition and enhancement while maintaining documentation and monitoring for compliance, and participating in long-range planning activities, the role falls to a higher level within the specialist role. Likely at least level 3."
