Job Description Name,Position Summary,Education,Work Experience,Essential Functions,Licenses and Certifications,"Knowledge, Skills and Abilities"
Wireless Infrastructure Technician,The Infrastructure Technician will assist with projects other Infrastructure Technicians and contractors.,,,"Assist with the daily operation at assigned sites
Maintain daily paperwork required for the site
Ensure safety and quality control requirements at your sites
Compile all site-specific closeout documentation for your work effort
Assist in all aspects of project coordination, execution, and completion
Assist in tower structural mappings, inventory mappings, maintenance inspections, and site audits
Safely and efficiently complete repairs and upgrades at elevated heights
Accountable for meeting project deadlines and maintaining quality control of project deliverables
Assist with documenting job costs, including labor hours and material
Work with the customer service department to notify customers of planned maintenance (with plenty of notice) while maintaining flexibility to reroute jobs due to any network issues that may arise throughout the day
Assist in facilitating and executing all special projects and day-to-day activities within the department in coordination with the Field Services Supervisor
Maintain proper use of company vehicles, credit cards and other assigned assets",,"PC Skills ability to install PC software and efficiently use company support systems.
Self-motivated, detail-oriented and organized with the ability to work efficiently to meet deadlines.
Excellent communication (oral and written) and customer service skills.
Must demonstrate the ability to build rapport and credibility and maintain a cooperative working relationship.
Ability to work with other employees, across all departments, to oversee projects through completion."
Associate Director of College Counseling,The associate director of college counseling works as part of a team to carry out the OES college counseling program.This position reports directly to the director of college counseling.,,,"Guide and counsel approximately half of the junior and senior class through the college search and application process, including the writing of counselor recommendation letters.
Hold regular meetings with students and parents to assist in all aspects of the search and application process, as well as the selection of a college. Be prepared to guide students considering alternative paths and gap year options.
Help plan and participate in class meetings, parent events, and college counseling programs at OES, including some programming and individual support of students and parents in grades 9 and
Assist with hosting college reps who visit OES.
Prioritize educating and guiding students and parents toward an informed and effective approach to the college search process and a reasonable and balanced approach to navigating academic and extracurricular choices in a college prep school.
Stay informed on topics relevant to college admission and work with adolescents (trends, admission process, college options, standardized testing, financial ad, resources, international students).
Engage in professional development through college visits, local and national conferences, meetings, and workshops as well as reading relevant books and articles.
Assist with other responsibilities as requested by the director.
Attend division meetings and all school employee meetings.
Participate in the life of the school by attending school activities, events, meetings, and conferences.
Engage fully in OES sponsored DEIA development activities as assigned.
Serve as an advisor to a small group of students.
At the discretion of the Head of Upper School and Director of College Counseling, other areas of Upper School involvement may include attending an opening of school grade level overnight trip, supporting a Winterim course, and/or leading an Activity second semester.",,"Intercultural competence, ability to work with sensitivity and effectiveness with students, families, colleagues of diverse backgrounds and identities
Ability to pass a criminal background check
Excellent interpersonal skills, ability to connect with high school students, ability to work well on teams
Verbal and written communication skills, including effective public speaking skills, ability to manage confidential information in compliance with the law and best practice
Ability to collaborate and work effectively on teams
Strong organizational skills, ability to track and manage details and competing deadlines
Ability to contribute to strong and positive connections with high school students and to maintain collegial relationships with colleagues
Ability to consistently apply principles of equity, inclusion, and anti-racism on a day to day basis in work with students and families, in the broader workplace community
Ability to sit at computer and keyboard for moderate periods
Sight and hearing adequate to perform the duties of the job, ability to communicate clearly
Ability to lift and carry up to 25 pounds on occasion"
"Analyst, Responsible Investing","The Analyst, Responsible Investing supports the business investment strategy and initiates the investor onboarding process for new client accounts. Serves as a technical expert on responsible investment related issues and integrates Environmental, Social, and Governance (ESG) considerations into the investment process. ",,"1-3 years Experience in an investment banking environment.
1-3 years Experience in ESG data analytics.
1-3 years Experience in responsible investing practices.","Supports analytical and reporting capabilities for Responsible Investing solutions; assesses Environmental, Social, and Governance (ESG) factors and identifies new data sources.
Builds an ESG data management system in partnership with the analytics and investment departments.
Generates reports,analyzes data on ESG issues, and identifies areas for improvements.
Researches ways to improve ESG performance and monitors trends in ESG data.
Makes recommendations and action plans that are aligned with the Responsible Investing strategy.
Provides technical expertise for the ESG analytics process and creates data driven solutions.
Supports strategic initiatives related to Responsible Investing, climate, and ESG topics.",,
Mgr Software Engineering,"This manager will lead multiple Scrum teams responsible for analyzing, designing, and developing software enhancements and/or new products used in local, networked, cloud-based or Internet related applications.",,,"Lead multiple Scrum Teams through the complete project life cycle for the development of applications using modern Java and Javascript libraries, REST APIs and microservices, RDBMS, and mainframe solutions
Collaborate with product owners within an agile team to define, develop, and estimate user stories and epics
Lead/Manage cross functional teams of Business Analysts, Quality Analysts, and Software Engineers
Assist with design, development, and code reviews when necessary",,"A passion for continuous learning as well as the ability to learn quickly and apply new skills
Flexibility/Ability to be proactive, possesses good problem solving skills and the capability to find solutions and the ability to successfully meet deadlines"
Coord 504,"Manages policies and procedures by collaborating between organizations and stakeholders (MNPS, AOC, DCS, JDC, Oasis, and Vanderbilt) to support educational stability among students within Special Populations (JDC, Foster Care, Residential Treatment Facilities, 504, Homebound, Short-Term Educational Services).  Research, monitors compliance within each entity in accordance with federal and state laws and school district policies pertaining to the students in the Special Population."," Some college, Student Information Systems Training Required", Experience in the area of Special Populations Required,"Establishes and communicates federal and state laws (Section 504, ESSA, Public Chapter 426, JDC Chapter 152, Homebound Chapter 0520) policies, and procedures for students within the Special Populations demographics.
Partners with multiple entities within district and local departments (Exceptional Education, English Language Learners, Student Health Services, School Counseling, School Social Work, Discipline Services, Enrollment Centers, Data Quality, Metro Student Attendance Center, Federal Programs, Leadership and Learning) to guide development and understanding of students identified as Special Populations.
Communicates regularly with all constituents in a variety of communication mediums regarding pertinent dates, policies, procedures for Special Populations.
Assist with planning and participating in meetings with stakeholders to determine best interest decisions. Consult with stakeholders to identify appropriate supports to increase academic achievement
Conduct ongoing needs assessment, monitor state laws for changes to refine and improve Public Chapter 426 operational functions and services.
Monitors the intake/admitted roster to identify MNPS, Charter, and Out of State students Special Populations (JDC, Foster Care, Residential Treatment Facilities, 504, Homebound, Short-Term Educational Services)
Analyze and utilize data and establish and maintain database for Special Populations",,"Excel, Microsoft Office"
Associate Director - Esports,"Establishes the eSports club as a national competitor in eSports. Hires coaches and selects the platforms, games, and competitions.  
Manages all operational and logistical planning as well as acts as a key stakeholder in the strategic vision for eSports.",,7-9 years 5+ years of experience in eSports management,"Oversees program and complementary programs (physical training, mental training) to ensure the  development of  the whole athlete.
Coordinates a team of qualified mentor coaches who assist with the hands-on delivery of the technical program.
Conducts coach and gamer skill clinics, and recruits guest coaches to assist with training.
Reviews and refines the skills used by the club and develops other coaching resources (coaching manual, skills videos, etc.).
Attends executive meetings and provides critical input on club strategic planning.
Manages and develops all live events related to eSports programs.
Ensures all programs are diverse and offer elements of inclusion for all manner of players.
Reports on all metrics related to programs to ensure adherence to key performance indicators.",,"Tournament Planning High
Team Recruitment Oversight High
Sponsorship and Partner Coordination Medium
Player Code of Conduct Management Medium
Esports Event Budgeting Low"
Support Technician,The support technician will be responsible for technical support to customers and technicians for all facets of IP/Video equipment.,,,"Provide technical support to customers and technicians for all facets of IP/Video equipment's
Update customer data and produce activity reports
Follow up with customer, provide feedback and see problems through to resolution
Complete paperwork, data entry, and unit configuration associated with video equipment installations.",,
Manager - Workplace Environments,"Functions as point of contact for telephone and office equipment service providers and vendors.  Maintains office equipment and furniture inventory and warranty/guarantee records.  Manages activities concerned with the installation, operation, and maintenance of buildings, equipment, utilities, structures, grounds, and roads.  Ensures building integrity and maintenance of electrical, water, and air systems and other real property.  Oversees maintenance of facility grounds/landscaping.  Manages the activities of corporate facilities and administrative services to include: facility management and planning, graphics, security, PBX operations, office services, and reproduction services.",,"10+ years
","Plans, schedules, and assigns duties to employees to ensure the most effectiveness of personnel and equipment.
Directs the work activities of employees and provides guidance in the resolution of problems.
Analyzes work schedules to plan work assignments based on job priorities.  Selects and assigns personnel to meet requirements of job.
Implements, maintains, analyzes, evaluates, and revises office operations, functions, and procedures to improve efficiency of work flow.
Interprets established company policies, procedures, rules, and regulations for employees.
Assists with training lower level staff.",Certified Project Management Professional (PMP)-PMI,"Facility Occupancy Analytics High
Environmental Health and Safety Protocols High
Workspace Wellness Program Design Medium
Ergonomic Assessment Coordination Medium"
Para Pro Ex Ed PreK Self Contained,"Works directly with a classroom teacher to assist with the implementation of supports and services provided in a self-contained setting. Collaborate with teachers and students in a variety of tasks related to academics, behavior and physical logistics.  Coaches and encourage students to actively engage in the process of learning and becoming more independent.

Incumbents may be assigned to work with 1 to 2 specific students. If that student/s move to a different school, the Para-Pro will be offered the opportunity to move with that student/s. Should the opportunity be declined, continued employment at the current school will be based on business need.",Associate's Degree in applicable field of study or 48 hours of college credit hours from an accredited college or university or successful completion of Praxis certification Required, Prior experience working with children Preferred,"Provides small group instruction under the guidance and supervision of certificated personnel.
Facilitates and models appropriate social interactions and behaviors among students.
Assists in the personal care of students such as feeding, diapering, lifting, etc.
Monitors, collects and records students’ behavioral and/or academic performance as directed by the teacher.
Actively engages with and consistently supervises all students throughout the day, e.g. playground, field trip, school and classroom settings.
Supervises and engages with students during arrival, dismissal, lunch, and/or other activities designated by the teacher or administrator. May assist and facilitate classroom and lesson preparation.
Implements students IEPs, functional behavioral assessments, safety plans, and/or behavior intervention plans.
Attends and actively participates in professional development opportunities to enhance skills and understanding of special populations, may include training for proper restraint procedures, social and emotional learning best practices and literacy.
Maintains professionalism and confidentiality. Models respectful behavior towards students, peers and supervisors.", Praxis certification  Required,"Proficient in basic computer skills including Microsoft Office Suite.
Demonstrates professionalism and a positive attitude.
Able to maintain confidentiality.
Able to operate a mechanic lift."
Skilled Laborer Plumbing,"Assemble, install, or repair pipes, fittings, or fixtures of heating water, water, or drainage systems, according to specifications or plumbing codes. Reviews blueprints, building codes, or specification to determine work details or procedures.",High School Diploma or GED Required, 1-2 years’ applicable experience in plumbing system maintenance and repair which provides basic plumbing knowledge including; 1) working with various tools and materials and 2) Using ASSE requirements Required,"Assembles pipe sections, tubing, or fittings using couplings, clamps, screws, bolts, cement, plastic solvent, caulking, or soldering, brazing, or welding equipment.
Installs pipe assemblies, fittings, valves, appliances such as dishwashers or water heater, or fixtures such as sinks or toilets, using hand or power tools. Anchors steel supports from ceiling joists to hold pipes in place.
Keeps records of work assignments.
Fills pipes or plumbing fixtures with water or air and observe pressure gauges to detect and locate leaks.
Assists lead plumber in pipe cutting, preassembly, and/or installation of plumbing systems or components.
Maintains and/or repairs plumbing by replacing defective washers, replacing or mending broken pipes, or opening clogged drains.
Locates and marks the position of pipe installations, connections, passage holes, or fixtures in structures, using measuring instruments such as rulers or levels.
Measures, cuts, threads, and/or bends pipe to required angle, using hand or power tools or machines such as pipe cutters, pipe-threading machines, or pipe-bending machines.","DL NUMBER - Driver License, Valid and in State   Required
 Plumbing License  Preferred
 Plumbing Service and/or Backflow Prevention Certification  Preferred","Active Listening, Learning Strategies, Troubleshooting, Equipment Selection, Repairing, Judgement, and Decision Making, Time Management, Coordination"
Renal Dialysis Technician,Provides renal dialysis patient treatments by attaching dialyzer and tubing; preparing dialysate; recording patient pre-dialysis weight and vital signs; explaining procedure and operation of dialysis machine to new patients; calculating fluid removal or replacement to be achieved during dialysis procedure; observing patient for adverse reactions.,,"1-3 years Experience working in a renal treatment center or similar role.
4-6 years Experience working in a renal treatment center or similar role.","Sets-up renal dialysis equipment by attaching dialyzer and tubing; preparing dialysate.
Registers renal dialysis patients by entering anticipated service data into the patient record; reviewing the medical history; recording patient pre-dialysis weight and vital signs.
Comforts renal dialysis patients by answering questions; responding to requests; explaining procedure and operation of dialysis machine to new patients; monitoring the condition of patients within the department.
Provides pleasant environment within the dialysis room by maintaining order; assuring the availability of reading materials.
Determines fluid control by calculating fluid removal or replacement to be achieved during dialysis procedure.
Monitors patient during renal dialysis treatment by observing patient for adverse reactions.
Documents patient care services by recording post-dialysis weight and vital signs; completing charting in patient and department records.
Maintains quality renal dialysis results by following standards.
Protects healthcare organization value by keeping information confidential; cautioning others regarding potential breaches.
Serves and protects the healthcare community by adhering to professional standards, healthcare organization policies and procedures, federal, state, and local requirements, and Joint Commission on Accreditation of Healthcare Organizations (JCAHO) standards.
Keeps renal dialysis equipment operating by following operating instructions and established procedures; troubleshooting breakdowns; maintaining supplies; performing preventive maintenance; calling for repairs.
Keeps renal dialysis supplies ready by checking stock; anticipating needs; placing and expediting orders; verifying receipt; stocking items.
Improves renal dialysis job knowledge by attending training sessions; reading technical publications.
Contributes to renal dialysis and healthcare organization success by welcoming related, different, and new requests; helping others accomplish job results.","CCHT - Certified Clinical Hemodialysis Technician
","Knowledge of patient rights and laws relative to those rights, such as HIPAA
Technology savvy with an ability to use medical software
Excellent communication skills both written and verbal
Ability to build comprehensive reports and effectively convey information to others."
Production Technician Lead,"Provides Production Technician team leadership, including collaborating with the Maintenance Technicians, Quality Technicians, Maintenance Technician Leads and the supervision and management of all functional departments.",,,"Provides Production Technician team leadership, including collaborating with the Maintenance Technicians, Quality Technicians, Maintenance Technician Leads and the supervision and management of all functional departments. Supports the planning, development, and execution of team schedules as well as production and maintenance activities.
Preform equipment set up per scheduled product and packaging requirements, ensuring all production materials are available
Operate and monitor equipment and replenish materials as needed
Preform assigned quality parameter verifications on products produced at assigned work station(s) and document in electronic record keeping system
Ensure that equipment is operating at standard performance levels, perform troubleshooting as necessary to performance levels to standard
Properly identify malfunctions and document in electronic record keeping system, follow standard escalation procedures for failures
Perform Cleaning, Inspection, and Lubrication (CILs) activities for assigned equipment and work areas. Will use industrial cleaning chemicals and equipment.
Perform Autonomous Maintenance (AM) activities for assigned equipment (lubrication, adjustments, and basic repairs, assist Maintenance Technicians on other repairs as needed)
Perform daily routines as part of Daily Direction Setting and Daily Management System requirements
Participate in team meetings, includes presenting information and status reports
Ensure compliance with regulatory and company policies and procedures
Standing for extended period, walking, lifting, climbing, crouching, bending, reaching, and stooping
Support management system efforts such as document control, audits, records, and continual improvement",,"Basic math skills, English language reading comprehension and writing
Basic computer skills, operation of Touch Screen computers/HMIs
Ability to read gauges, dials, thermometers, rulers, and other digital display devices
Ability to read, comprehend, and follow written schedules, flow charts, and flow diagrams
Ability to engage in continuous learning activities
Ability to work in structured team environment"
Teacher Language German,"The Teacher utilizes current strategies and theories to plan, organize and implement structured lessons to instruct K12 students.",Master's Degree from an accredited institution in a related field Preferred, Work experience gained through education and certification/license requirements Required,"Instruct students in an in-person classroom environment through lectures, discussions, visual aids, instructional strategies, and other effective teaching methods for student comprehension.
Prepares lessons and outlines to use in class that effectively cover the material.
Plan and conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate.
Administers various types of assessments to monitor student’s comprehension of the material.
Assist students who need extra help with tutoring. Guides and counsels students with adjustment or academic problems or special academic interests.
Collaborates with other teachers and administrators to develop, evaluate, and revise academic programs following approved curricula.
Utilizes instructional technology, audio-visual aids, and other equipment and materials to enhance student learning.
Performs various administrative duties such as taking attendance, organizing the classroom, and responding to emails and phone calls from parents, school administrators, and staff in a timely manner.
Observe and evaluate students' performance, behavior, social development, and physical health.
Attends in-person faculty meetings, teacher training workshops and educational conferences to maintain and improve professional competence.
Maintain accurate, complete, and correct student records as required by laws, district policies, and administrative regulations.",Teaching Certification/License From Tennessee Department of Education with applicable endorsement Upon Hire Required,"Excellent writing and communication skills
Instructional strategies that connect the curriculum to the learner
Student Management
Demonstrated ability to work well with students, staff, and parents in a professional manner
Ability to be flexible and adapt as needed between in-person learning environments.
Knowledge of school safety & security procedures
Ability to work under pressure and meet deadlines"
Aviation Aeronautical Data Analyst,"Processes aeronautical source publications from all over the world.  Applies specific concepts as information from aeronautical sources and is reviewed, analyzed, and input into our aeronautical navigation database. Works with customers to produce quality aeronautical products that will be utilized by the aviation community in public and private airspace. ",,1-3 years 2 years’ experience performing a role substantially similar to the essential functions of the job,"Uses data collected from cost estimations to create professional presentations.
Reviews aviation-related information to make decisions about flight routes, spending practices, employee efficiency, safety, and many other topics.
Collects, analyzes and evaluates aeronautical data from worldwide data and imagery sources.
Prepare presentation packets with outlines, notes, and statistical data to maximize return on investment on aviation equipment.
Specializes in different areas, such as defense or aerospace and focuses on particular aviation issues, such as changing safety protocols or investing in equipment upgrades.",,"Ability to prioritize and multi-task in a flexible, fast-paced and challenging technical environment to meet competing and concurrent deadlines.
Demonstrate excellent problem solving and analytical skills.
Demonstrate attention to detail with the ability to work proactively and effectively with minimal supervision.
Understands of aeronautical navigation, procedures, data and charts relevant to Aviation business."
Coach English Learner,"Assists teachers in meeting the needs of English Learners (ELs) students in planning, modeling, and coaching differentiated lesson based on the proficiency levels of the students.  Assists principals and school staff in reviewing and utilizing EL data, and identifying and facilitating professional development based on school data.",Master's Degree In related field of study Required,1-3 years Classroom teaching experience  Required,"Reviews data with administrators and teachers to plan lessons and instruction
Conducts professional development for schools and assist administration in seeking, identifying, and securing needed professional development opportunities.
Conducts and facilitates departmental and grade level PLCS sessions to assist with planning and collaboration for instruction and meaningful differentiation in classrooms.
Conducts coaching cycles and classroom visits and provides feedback to teachers.  Models lessons and instructional strategies for teachers.
Communicate and demonstrate the mission and vision of the EL Office in the work with teachers, administrators, and schools.","Teaching Certification/License Current TN teaching license  Required
 Current ESL and Elementary Endorsement  Required",
"Manager, Advanced Manufacturing Engineering Plastics",The AME plastic manger will lead the team of tooling engineers and molding engineers at multiple locations.,,,"Functional area tasks and responsibilities
Lead initiatives for new product tools and tool changes.
Work closely with product development teams and manufacturing in designing & sourcing molds, working with external vendors, and investigating and improving existing molds with an emphasis on product manufacturing and cost reduction
Lead to deliver tooling solutions that meet expectations, e.g., yield, cycle-time, quality requirements, maintenance’s needs
Lead Tooling Design reviews and generate tooling FMEAs as well as recommend risk mitigations
Support Project timelines and milestones and bring them to completion on time and within budget
Own and complete CAPA tasks and deliverables (Corrective and Preventive)
Initiate and manage projects with adherence to program management guidelines
Proficiency with the use of SPC, DOE and Six Sigma techniques.
Procedure development for tooling areas.
Be able to independently lead a team navigating through hurdles, achieve performance, consider input from multiple functional areas & address the problem through a holistic method
Use broad understanding from start to end of the product manufacturing process in the company to help drive win-win solutions for both product quality and manufacturing
Develop and maintain tooling scorecard for internal and external tools",,"   Strong knowledge of plastic part design for manufacturability, and plastic processing.
Expertise of mold manufacturing processes and their capabilities.
Strong knowledge of tool design and fabrication.
Strong skills in project scheduling."
Power Plant Technician,"Completes power plant equipment preventive-maintenance programs to supply power. Troubleshooting and repairs breakdowns. Maintains equipment suppplies, receives, and identifies equipment.",,"4-6 years experience as a power plant technician.
7-9 years experience as a power plant technician.","Maintains steam generation, emergency power, and chilled water by completing power plant equipment preventive-maintenance programs; studying manufacturer instructions.
Keeps power plant equipment operating by following operating instructions and established procedures; troubleshooting and repairing breakdowns; maintaining equipment supplies.
Maintains power plant equipment inventories by receiving, identifying, and logging equipment.
Keeps power plant supplies ready by inventorying stock; placing orders; verifying receipt.
Maintains safe, secure, and healthy power plant environment by adhering to organization standards and policies, and to legal regulations; alerting others regarding potential concerns.
Documents power plant actions by completing forms, reports, logs, and records.
Improves power plant job knowledge by attending training sessions; reading technical publications.
Contributes to power plant and organization success by welcoming related, different, and new requests; helping others accomplish job results.",Power Plant License,"Basic knowledge of power generated system fundamentals.
Ability to accurately prepare and maintain records, files, and reports.
Proficient in Microsoft Office programs.
Excellent communication skills both written and verbal."
Quality Processing Laboratory Technician,Verifies Product Compliance To Quality Standards by keeping computerized scale units operational and current with formulations; monitoring and verifying records; using statistical methods for monitoring and charting; notifying production supervisor of noncompliance; mixing test batches in laboratory ban bury or mill method; evaluating all results and visual inspection methods; determining status of non-shippable or usable material.,,"1-3 years experience in a quality laboratory technician role.
4-6 years experience working in a production environment.","Maintains computerized scale system by keeping units operational and current with formulations; monitoring and verifying records.
Maintains factory processes and procedures to standard by using statistical methods for monitoring and charting; notifying production supervisor of noncompliance .
Prepares experimental design projects by mixing test batches in laboratory banbury or mill method.
Releases materials by evaluating all results and visual inspection methods; determining status of non-shippable or usable material.
Maintains quality results by following organization standards
Maintains stock of forms and spare parts by verifying inventory of items; notifying laboratory manager when items are needed.
Maintains safe, secure, and healthy laboratory environment by adhering to organization standards and policies, and to legal regulations; alerting others regarding potential concerns.
Improves laboratory technician job knowledge by attending training sessions; reading technical publications.
Contributes to laboratory and organization success by welcoming related, different, and new requests; helping others accomplish job results.","Quality Technician Certification CQT
","Knowledge of QA principles, concepts, systems, industry practices, and standards.
Ability to analyze data and draw accurate conclusions to promote error reduction and service improvement.
Ability to recognize, analyze, and solve a variety of problems.
Excellent communication skills both written and verbal."
Dir Financial Operations,"This position, reporting to the CFO, is responsible for leading Finance Team in managing the financial and accounting policies, systems and processes, regulatory requirements and assisting with ongoing financial modeling and business plan.  This position also provides leadership and coaching to the Finance Team.",Master's Degree  Preferred, Sound knowledge of compliance regulations for organizations working within the public sector Required,"Oversee accounts payable, procurement card activities and payments to vendors for all goods and services purchased by the District.
Responsible for the delivery of cost effective and efficient accounting and financial systems, policies and processes that meet the current and future business requirements
Ensure the District is in compliance with all internal policies and relevant regulations and ensure related filings are completed in a timely manner.
Develop and oversee the Internal Review function to ensure finance and operations controls and policies are within District compliance.  Ensure effective follow up processes are in place.
Oversee the functional financial system of the District, ensuring maximum productivity and today and future business needs are met.
Oversee the district’s reimbursable projects for schools and out organizations.
Oversee the facility use process and its billing.
Oversee the continuous improvement of Accounting and Financial Processes and the development of the team with the goal to achieve best practices and optimal output.",Certified Public Accountant (CPA)   Preferred,"Exceptional interpersonal skills;
a collaborative style and the ability to communicate effectively at all levels;
Demonstrated initiative and the ability to work effectively within time constraints;
Knowledge of financial and ERP systems;
Proficient in Microsoft Office software"
Sterile Processing Technician,"Retrieves, decontaminates, cleans, assemble, processes, sterilizes, stores, and distributes medical devices, equipment, procedure trays, and supplies used in the care of patients.",,"1-3 years 2 years experience as a Central Sterile Technician
1-3 years Experience in a acute care hospital setting","Retrieves, sorts and decontaminates used materials, instruments, medical devices and equipment .
Sterilizes wrapped and packaged items by steam or ETO.
Assembles, after checking for cleanliness, sharpness, and proper functioning, various procedure trays, surgical instrument sets,  and wraps items in the correct type of packaging material.
Transports and clipper preps all surgical patients.
Assists in the process of providing customer departments with appropriate sterile supply inventory.
Maintains communication with customer departments regarding requests and delivery of sterile supplies.",,"Ability to read, comprehend and follow simple verbal instructions.
Ability to exchange information clearly and concisely, and present ideas, facts and technical information.
Ability to perform under stress when confronted with emergency, critical, unusual, or dangerous situations.
Ability to continuously perform the same type of work for extended periods of time.
Knowledge of operating room instrumentation."
Worker Warehouse,"Responsible for receiving, storing, shipping, issuing, and delivery of district Facility & Grounds Maintenance Department materials/tools and other educational/custodial supplies/equipment for warehouse, off campus locations and MNPS and custodial employees. Provides assistance with the planning, coordination, and direction of district-wide warehouse support activities and performs related work as required by superior(s).","Associate's Degree in warehouse management, logistics, inventory control or equivalent is Preferred", Minimum 2 years applicable experience Preferred,"Receives, stores and monitors stock levels, organizes and issues warehouse inventory and tool supplies to ensure quality work and cost effective department warehouse operations.
Maintains inventory and budget records; assesses department warehouse needs and orders supplies as appropriate; maintains stock records.
Provides quarterly inventory spending reports in Microsoft Excel format to superiors.
Maintain department uniform inventory; conducts random and annual maintenance truck inventory, and all necessary reports and records to ensure quality work.
Operates forklift and maintains a clean, safe and organized warehouse environment.
Serves on the safety committee and represents the warehouse department.  Conducts monthly safety meetings for shop personnel.
Supports department events scheduled for warehouse loading bay area.
Department trainer for OSHA certified forklift operator training.  Operates warehouse forklift as required.","DL NUMBER - Driver License, Valid and in State   Required
Forklift Certification OSHA certified. If employee is not certified upon hire, employee must employee OSHA certified forklift training  Preferred",
Mgr Data Quality and Integrity,"Supervises staff in ensuring the integrity of all data housed in and managed by computerized applications in the District.  Develops support, training, and remediation strategies to ensure data integrity.",Bachelor's Degree In an applicable field Preferred, Additional experience in management or training may be considered in lieu of a Bachelors’ degree,"Supervises data quality specialists in data monitoring, data error management and data entry by schools.
Implements support and monitoring strategies to address areas of concern with respect to data integrity.
Creates and monitors reports from assigned schools to ensure compliance with District and State policies.
Conducts group and individual training sessions for principals, secretaries, administrators, and school counselors on the use of data for state and local reporting.
Assists principals in evaluating staff proficiency with regard to data quality.
Ensures state reported data is accurate and reported in a timely manner.
Researches and develops best practices in the areas of data quality and management.",,Basic Computer Skills
Agent Junior Contracting,"This position is generally assigned simple sourcing and contracting projects.  Works with some supervision, manages own time effectively, maintains control over all current projects/responsibilities and informs management of project updates and status. Follows up on all relevant issues. Technical Competence: Possesses necessary knowledge to effectively perform job and able to apply what he/she has learned about his/her job.  An average to novice procurement enterprise system user. ","Associate's Degree or hours equivalent to within a Bachelor’s program, with or working toward certification by a Procurement Certification Organization Required", May waive the experience time for higher degree Required,"Achieves a high level of client satisfaction with generally three or less protests by suppliers per fiscal year depending on nature of sourcing events.
Assists clients in the development of Scope of Work/SOW (Specifications for ITBs) and establishes the desired outcomes (deliverables for ITBs), coupled with the development of evaluation criteria (functional requirements for ITBs) that ensure the fair & correct selection of suppliers based on those expectations.  The sourcing information will be effectively captured in iProcurement.
Conducts sourcing that builds off of the iSupplier/iProcurement generated commodity code supplier list to include client recommended suppliers and reflecting market availability research.  All sourcing is to place emphasis on the identification and inclusion of diverse businesses (MBE, WBE, SBE, and Service-Disabled Veterans).
Conduct sourcing events in iProcurement that are fair, equitable, and inclusive for all potential suppliers.  Sourcing events include at a minimum:
Clear and reasonable schedules that meet the client’s needs
Clearly stated and achievable outcomes
Method of selection
Requirements for Responsive offers and responsible suppliers
The default contract for that specific sourcing event
Revise the default iProcurement contract to reflect to SOW, desired outcomes, limitations, performance expectations, report requirements, cost structure, and timelines prior to publishing the sourcing document.  Negotiate all terms and conditions to improve the final selection.
Ensure quality of work by including all related legal clauses found in iProcurement contract templates.  Ensure detailed alignment of Board Summary, Financial Summary, Sourcing Document, Offer, and Contract.  Include all documents in digital repository of iProcurement.
Assist in the timely Contract Management efforts over the life of the contract that include but is not limited to contract amendments, contract performance (breach) discussions, seek problem resolution, and recommend contract terminations.
Monitor Contract expirations weekly, compile Board Contract Summary Notebook bi-weekly, schedule and contract school graduations and proms.  Contract for school fund raisers, and CTE naming rights.
Federal laws, T.C.A., Board Policy and District Procedures.
Generally, conduct assignments with some oversight and with initiative.
All Sole Source requests, exemptions from open competitive sourcing process, solicitation awards must be approved by the department director."," (ISM, NIGP, etc. or working towards such)  Required","Analytical, mathematical, logical assessment of written proposals, collaboration of ideas, demonstrated ability to speak before a small group, guiding others.
Demonstrated capability in using technology, specifically, all Microsoft Office applications and an ability to use enterprise level applications as part of a larger team."
Advocate Engagement Specialist,"Provides subject-matter knowledge, technical assistance, and junior- to mid-level consultation for a program.",,"4-6 years experience in mental health or role with similar job duties.
7-9 years experience in mental health or role with similar job duties.","Provides training, orientation and guidance to patient advocates serving program needs in consulting capacity.
Exercises judgment within defined procedures and practices to determine appropriate action or approach.
Exercises independent judgment in instances not yet well defined in procedures and practices.
Provides day to day contact with the client and other teams.
Initiates contact within the patient advocate community that may result in the identification of consultants and/or business leads.
Develops some procedures and practices, often with input from manager.
Represents client and Company within the community through meetings and presentations with guidance.",,"Utilizes professional background to assess and support the various iteration of clients
Ability to work independently with minimal supervision.
Ability to recognize, analyze, and solve a variety of problems.
Excellent communication skills both written and verbal."
"Analyst, Business","The Analyst, Business role requires nimbleness, curiosity, analysis, willingness to learn and a passion for success.",,,"Stay informed of JetBlue Vacations performance metrics using existing dashboard and reports.
Analyze trends to draw conclusions that lead to changes in our business aimed at improving revenue.
Research competitor and industry trends to ensure that JetBlue Vacations is a leader in the market.
Research, propose, and launch tests designed to increase customer awareness, conversion, and overall revenue.
Collaborate with other Commercial, Tech, and Finance team members to achieve goals.
Provide necessary support to peer groups across the JTP organization.
Other complex projects and duties as assigned.",,"Proven ability to conduct and analyze research related to consumers, industries and competitors.
Ability to think objectively and interpret meaningful themes from quantitative and qualitative data.
Excellent verbal and written communication skills with the ability to communicate ideas and recommendations to all levels within the company.
Effective research skills including the ability to analyze information and make determinations in accordance with company guidelines."
