Job Description Name,Position Summary,Education,Work Experience,Essential Functions,Licenses and Certifications,"Knowledge, Skills and Abilities",Original Job Title,New Job Title,Major Role Group,Minor Sub-Group,Borderline Level,Justification
Data Specialist III,"At the direction of the principal and Department of Curriculum and Instruction, the Literacy Teacher Development Specialist (LTDS) builds teachers' capacity in literacy by facilitating job-embedded teacher development. In collaboration with administrators, teachers and central office staff, the LTDS supports the goal of building teacher capacity to meet system-wide and local school initiatives to increase student learning in literacy (e.g., reading, writing, listening, speaking, and using language effectively).",Master's Degree from an accredited institution in reading or with reading coursework  Preferred,  Successful experience as a mentor Preferred,"Knowledge of best practices in adult learning, teaching methods and teaching skills and the ability to use and model them. Demonstrated ability to analyze student performance data, then, formulate instructional strategies to meet student needs.
Engages teachers to develop a culture that fosters professional learning communities recognizing all teachers as learners capable of acquiring a repertoire of literacy skills to meet the needs of every student.
Creates professional learning opportunities, related to generating evidence of student learning; and, promotes data-driven instruction, instructional planning, differentiated instruction, and acquisition of instructional best practices, peer visits with follow-up reflection, local school walkthroughs, collaborative team planning, individual professional growth, and reflective practices. Demonstrates high expectations and able to model effective instructional strategies for continuous student improvement. Communicates and supports implementation of system-wide initiatives. Supports job embedded staff development.
 Instructional Program Support for Literacy:                                           _x000d_
1.Demonstrates superior knowledge of the three ELA shifts and pedagogy as it relates to Balanced Literacy (i.e., Guided Reading, Interactive Read-Alouds, etc.) at the elementary level; and, Disciplinary Literacy (literacy across content areas) at the secondary level                                                                                                                                                                                                                2. Advances knowledge of current trends in reading and writing instruction                      _x000d_
3. Supports teachers with creating a literacy environment conducive to effective instruction                                                                                                                                      4. Demonstrates (models) literacy/learning strategies in classrooms                                        _x000d_
5. Evaluates literacy needs within various subject areas and collaborate with teachers and administrators to interpret, use assessment data to improve instruction, and problem solve                                                                                                                    6. Uses assessment data to assist administrators and teachers with placement of students in appropriate instructional or intervention programs                                                         _x000d_
7. Leads administrators and teachers in the selection and use of a range of assessment tools as a means to make sound decisions about student literacy needs as related to the curriculum and to instruction                                                                                              8. Conducts regular meetings and collaborates with teachers to examine student work and monitor progress in order to support teacher reflection and action                        _x000d_
9. Assists classroom teachers with analysis of formal and informal literacy assessment data on their students to determine student response to instruction                            _x000d_
10. Work with the schoolâ€™s Leadership Team, Leading for Literacy Team, and other constituent groups to determine the schoolâ€™s strengths and needs for improvement in the area of literacy in order to improve studentsâ€™ reading, writing, and communication skills and content area achievement                                                                          11. Assists teachers with planning, sequencing, and scaffolding of instruction                      _x000d_
12. Participates in S-team reviews concerning academic progress of at-risk students who are not responding to interventions                                                                                         13. Communicates the schoolâ€™s literacy program for all staff, parents, and members of the community
Professional Development:                                                                                                        _x000d_
1. Provides in-service training and follow-up modeling and coaching to assist classroom teachers in the use of literacy/learning strategies in their classrooms                                          _x000d_
2. Works with teachers individually, in collaborative teams, and/or with departments, providing practical support on a full range of literacy (i.e., reading, writing, listening, and speaking) strategies                                                                                                        3. Observes and provides feedback to teachers on instruction related to literacy development and content area knowledge                                                                 _x000d_
4. Employs effective modeling and coaching skills; coaches teachers in effective literacy instructional strategies in a variety of content areas                                                          _x000d_
5. Participates in district-level in-service meetings and assists in the coordination of district level in-service offerings                                                                               6. Continues professional growth and strengthens professional teaching knowledge, skills, and strategies through an ongoing program of workshops, seminars, conferences, and/or advanced course work                                                                                   7. Maintains a collection of professional materials related to effective literacy instruction and reflect current research
Professional Responsibilities:                                                                                             _x000d_
1. Encourages literacy and life-long learning                                                                 _x000d_
2. In collaboration with the principal, develops a Literacy Professional Development Plan for the school thatâ€™s aligned to the schoolâ€™s School Improvement Plan                                                                                                     _x000d_
3. Maintains and promptly submits accurate, complete, and correct records and reports as required by district policy, administrative directives, etc.                                          _x000d_
4. Facilitates or serves as a member on school literacy groups and committees             _x000d_
5. Builds teacher leadership and promotes collaboration within and among schools       _x000d_
6. Works to promote productive relationships with and among school staff                   _x000d_
7. Attends and participates in all required meetings                                                       _x000d_
8. Upholds school rules, administrative regulations, and Board policies                    _x000d_
9.Takes all reasonable and necessary precautions to protect students, equipment, and facilities
Participates in workshops, seminars, conferences and/or advanced coursework to further hone his/her knowledge, skills and expertise; attends scheduled meetings and parent conferences as requested"," A reading endorsement or certificate strongly   Preferred
 Licenses, Certifications, and Registrations refers to professional, state, or federal licenses, certifications, or registrations required to enter the position  Required","Strong background in literacy instruction
Submission of a videotape showing the candidate conferencing with a teacher/ colleague or teaching a guided reading lesson or interactive read aloud at the elementary level or facilitating a small or whole group literacy lesson (in any content area) at the middle school or high school level.
Submission of three letters of reference from principal, colleague, and teacher the candidate supported that speak to the candidateâ€™s literacy skills, knowledge and expertise as well as human relations and interpersonal skills
Willingness to attend summer training via MNPS
Admission to the Metro Nashville Public Schools K-12 Literacy Teacher Development Specialist pool
Meets highly effective rating on the most recent evaluation.
Evidence of instructional leadership (e.g., team leader, resource teacher, interdisciplinary resource teacher, department chair, system-wide committees, etc.).
Admission to the Metro Nashville Public Schools K-12 Literacy Teacher Development Specialist Pool
Demonstrates appropriate use of tools, especially instructional technology, to enhance and extend instruction; Maintains proficiency in instructional technologies",Data Specialist III,Literacy Teacher Development Coach,Coach,,,"Matches Coach KSACs, including Academic and Pedagogical Expertise, Performance Evaluation, and Learning Strategics and Techniques."
Product Specialist,"The Chief of Strategy is a critical leader in Nashville Public Schools (NPS), responsible for spearheading the development, execution, and performance tracking of the district's strategic plan and initiatives. This role ensures seamless alignment between the district's mission, vision, strategy, and innovation efforts.  As a key member of the executive leadership team, reporting to the Director of Schols, the Chief of Strategy will collaborate extensively with other executive leaders to gain a comprehensive understanding of district systems and program models, identify areas of need or opportunity, source and allocate resources to support strategic initiatives, create and incubate innovative processes and programs, monitor and evaluate the impact of strategic initiatives and foster a culture of innovation and excellence, positioning NPS as the premier large urban school district in Tennessee and beyond. ","Master's Degree in Business, Education or Public Administration Preferred",4-6 years or more of increasingly responsible leadership in public sector or educational strategic development and administration Required,"Act as the leader for strategic planning within the district, collaborating with the Director of Schools and executive leadership to design, monitor and evaluate the impact of strategic initiatives and new programs, using performance metrics and research based assessment methodologies to drive continuous improvement.
Establish key performance indicators and metrics to track project/intiative performance and outcomes while surfacing key findings and recommendations for improvement.
Identify, prioritize and lead high impact intiatives and programs in line with district strategies for enhancing educational outcomes and optimizing performance.  Bring innovative programs and projects online, from ideation and concept testing to implementation and integration into appropriate divisions of the district.
Collaborate with executive leadership to ensure seamless integration of innovative concepts, fostering a culture of innovation across the district.
Conduct in-depth research and analysis to inform innovation strategies.  Monitor trends, internal and external data, emerging technologies and educational strategies to identify opportunities for incorporating new methods and mechanisms into practice designed to drive instructional excellence and high academic outcomes for students while supporting equity.
Build partner relationships within the community to enhance innovation efforts.  In cooperation with Director of Schools, CFO and relevant internal stakeholders, source and allocate resources to support strategic initiatives, ensuring optimal use of district assets.",,"Excellent oral and written communication skills, ability to balance strong attention to detail and analytical skills with an engaging, consultative, relationship-focused approach to working with people.
Adept at managing a project from inception to completion, with the ability to prioritize and synthesize information in an analytical and systematic manner.
A comfort with ambiguity and competing priorities is vital.",Product Specialist,Strategy Chief,Chief,,,"Matches the Chief KSACs, including Strategic Palnning, Leadership, and Visionary Thinking."
Director of Career Academies,"The employee provides strategic and operational leadership for the Academies of Nashville and Career and Technical Education (CTE) programs across MNPS. As the district's liaison to the Tennessee Department of Education for CTE, this role ensures all CTE programming aligns with state expectations and is implemented with instructional excellence and compliance. The Director is also the public-facing leader of the nationally recognized Academies of Nashville model, serving as a connector between district strategic priorities and academy principles. This position plays a critical role in expanding access to industry-aligned learning pathways and ensuring all MNPS students graduate with the knowledge, skills, and experiences needed to succeed in college, career, and life. The Director leads a cross-functional team and regularly engages with business, industry, and community partners to advance the district's vision for college and career readiness. This position requires a dynamic, externally facing leader who can translate complex district priorities into actionable strategies grounded in the principles of relevance, rigor, and real-world readiness. The Director of Career Academies plays a central role in ensuring MNPS students graduate with meaningful credentials and experiences that connect learning to opportunity.",,,"Strategic Leadership and Alignment: Lead the development and implementation of a coherent vision for the Academies of Nashville and CTE that aligns to MNPS goals for postsecondary readiness and equity.
CTE Program Oversight: Ensure the quality, compliance, and instructional integrity of CTE programs of study across the district. Serve as the primary liaison with the Tennessee Department of Education on all CTE-related matters, including policy alignment, credentialing, funding, and accountability.
Academy Model Stewardship: Maintain fidelity to the core principles of the Academies of Nashville while evolving the model to meet changing district priorities and student needs. Promote consistency, innovation, and high standards across academy pathways.
Industry and Community Engagement: Represent MNPS to business, nonprofit, and civic leaders as the face of the Academies of Nashville. Build and sustain partnerships that expand student access to work-based learning, mentorships, internships, and real-world career experiences.
Cross-Departmental Collaboration: Coordinate closely with directors of Counseling, CCR Systems, and Advanced Academics to ensure that academy and CTE pathways are integrated into student advising, transition planning, and EPSO access strategies.
Equity and Access Leadership: Monitor participation and success data to identify and address gaps in access to high-quality career pathways. Lead initiatives to increase participation of underrepresented student populations in CTE and academy experiences.
Team Management and Capacity Building: Supervise coordinators and coaches responsible for CTE, workforce readiness, business partnerships, and compliance. Build a team culture grounded in collaboration, responsiveness, and continuous improvement.
System and Infrastructure Development: Oversee processes related to course offerings, budgeting, credential tracking, and facility readiness to ensure academy and CTE programming is well-resourced and operationally sound.",,,Director of Career Academies,Career Academies Director,Director,,,"Leads the Academies of Nashville, supervising CTE, partnership development, and school implementation.. Demonstrates strategic leadership, project oversight, and team management responsibilities."
Music Specialist,"The Teacher utilizes current strategies and theories to plan, organize and implement structured lessons to instruct K12 students.",Master's Degree from an accredited institution in a related field Preferred, Work experience gained through education and certification/license requirements Required,"Instruct students in an in-person classroom environment through lectures, discussions, visual aids, instructional strategies, and other effective teaching methods for student comprehension.
Prepares lessons and outlines to use in class that effectively cover the material.
Plan and conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate.
Administers various types of assessments to monitor studentâ€™s comprehension of the material.
Assist students who need extra help with tutoring. Guides and counsels students with adjustment or academic problems or special academic interests.
Collaborates with other teachers and administrators to develop, evaluate, and revise academic programs following approved curricula.
Utilizes instructional technology, audio-visual aids, and other equipment and materials to enhance student learning.
Performs various administrative duties such as taking attendance, organizing the classroom, and responding to emails and phone calls from parents, school administrators, and staff in a timely manner.
Observe and evaluate students' performance, behavior, social development, and physical health.
Attends in-person faculty meetings, teacher training workshops and educational conferences to maintain and improve professional competence.
Maintain accurate, complete, and correct student records as required by laws, district policies, and administrative regulations.",Teaching Certification/License From Tennessee Department of Education with applicable endorsement Upon Hire Required,"Excellent writing and communication skills
Instructional strategies that connect the curriculum to the learner
Student Management
Demonstrated ability to work well with students, staff, and parents in a professional manner
Ability to be flexible and adapt as needed between in-person learning environments.
Knowledge of school safety & security procedures
Ability to work under pressure and meet deadlines",Music Specialist,Teacher (Does not give enough information for more because of our generic Teacher JD),Teacher,,,"Matches Teacher KSACs, including Pedagogical Techniques and Curriculum Development. Minor Sub-Group rules not established for Teacher."
Youth Transition Specialist,"Serves all schools from the district level with research-based best practices and direct assistance to school staff in serving families.  Plans strategically with district leaders and school staff to develop goals.  Serves on special projects and committees to provide input on challenges to success in family engagement._x000d_
_x000d_
",Bachelor's Degree from an accredited institution in a relevant field Required," Experience leading new initiatives in education, public administration, community development, or related field with proven success Preferred","â€‹â€‹Develops, coordinates, and provides high quality training sessions and workshops for schools to share with families based on needs assessments and the goals of schools based on family, school and community needs.
â€‹â€‹Develops and provides high quality training sessions and workshops to school staff to support capacity building for effective family-school partnerships.
â€‹â€‹Creates, supports and participants in parent leadership activities.  Attends and assists with district events to promote family and community programs.
â€‹â€‹Meets regularly with school staff and leadership to share expertise; links academic goals with family programs; coordinates events and opportunities at the district level; and establishes and maintains communications between families, community partners, schools, and other MNPS departments about events, programs, classes, and opportunities.
â€‹â€‹Collaborates with various community partners to establish and or maintain effective family and community partnerships.
Provides departmentâ€™s leadership information by researching, collecting, and analyzing data and communicating concerns about challenges to success in parent and community engagement.
Coordinates with MNPS departments to ensure necessary resources are provided for families.
Expands and enhances partnerships with community based organizations in support of goals and needs.  Collaborate with internal department in support of district wide initiative","DL NUMBER - Driver License, Valid and in State  Upon Hire Required","Strong interpersonal and communication skills.
Ability to work effectively and cooperatively with a wide range of constituencies in a diverse community.
Ability to communicate effectively, both orally and in writing.
Skill in organizing resources and establishing priorities.
Ability to make administrative/procedural decisions and judgments.
Proposal and grant writing skills.
Ability to create, compose, and edit written materials.",Youth Transition Specialist,Coach Family Involvement,Coach,,,"Matches Coach KSACs, including Academic and Pedagogical Expertise, Goal Setting and Planning, and Learning Strategics and Techniques."
Spec IT Enterprise Support Network III,"Responsible for planning, engineering, design, and performance of the WAN, LAN, Telephony, Video conferencing, network security systems and networking components of the organization in a complex multi-protocol environment.  Leads and participates in technology related network projects.","Bachelor's Degree education or training equivalent to a Bachelor’s degree in Information Technology, Computer Science, or a related field Required", Experience in a multi-facility medium to large business environment is Preferred,"Manages, evaluates, engineers, implements, configures and assists in maintaining the organizations LAN/WAN infrastructure, including routers, switches, VoIP/Video Conferencing services,  security devices, data center and aggregate egress
Maintains, updates, reviews and recommends additions and enhancements to the organization’s network and associated security, including firewalls, VPN connectivity, Intrusion Detection, LAN/WAN monitoring and Internet connectivity
Creates, updates and maintains documentation relating to proper implementation and maintenance of LAN/WAN infrastructure such as LAN/WAN diagrams, configurations, WAN circuit ID, traffic studies, inventory of network electronics, change control, etc.
Works closely with system administrators in design, implementation and support of enterprise applications
Creates, updates and maintains documentation relating to proper implementation and maintenance of LAN/WAN infrastructure such as LAN/WAN diagrams, configurations, WAN circuit ID, traffic studies, inventory of network electronics, change control, etc.
Monitors and advocates compliance with district technology policies and guidelines.
Prioritizes tasks and manages time to ensure continued end-user satisfaction and timely resolution to issues.
Participate and develop long-range planning activities for the voice and data communications network that will help to overcome barriers to student learning.","CCNP - Cisco Certified Network Professional   Preferred
CCNA - Cisco Certified Network Technician   Preferred",,Spec Early Childhood Child Find,Early Childhood Child Find Representative,Representative,,,"The education and other qualification requirements for the role, while specialized, are more representative of school-based roles such as a teacher or coach than a specialist. However, the essential functions of the role are very in-line with that of the representative role. The role serves as LEA or advocate, attending IEP meetings and conducting TEIS meetings for families, which relates to the parent and guardian engagement KSAC. Conflict resolution techniques, student support services, school facilities and resources knowledge, and cultural sensitivity and diversity awareness all have a place in these meetings, as well as when serving as a point of contact for families and the community."
Financial Reporting Specialist,"This position is responsible for performing a variety of complex technical accounting and clerical work applicable to the accepted practices and procedures involved in maintaining and preparing accounting records, and receivable functions.","Associate's Degree in Business, Accounting, or Finance Preferred"," Five (5) years of increasingly responsible experience and varied experience involving financial and statistical records, or acceptable equivalent to an Accounting Technician I in the Metro Nashville Public School District Required","Responsible for all activities in the accounts receivable function.
Coordinate the task of the A/R Accounting Tech I and assist with training for backup purposes.
Maintain the daily receivable warrants and upload to EBS.
Post charges (data entry of reimbursable projects) and payments to the receivable database for reimbursable projects. Analyzes billings and prepares reports as required.
Maintains petty cash, performs reconciliation and reimbursements of petty cash for work related employee expenses.
Maintains a running system to track all receivables at all times, ability to provide immediate update on accounts as requested by management, convert A/R to cash in a timely manner, provide monthly reports to the Director of Financial Operations on A/R activities.
Responsible for collection activities such as sending follow-up inquiries, negotiating with past due accounts, maintaining cash receipts and referring accounts to collection agencies.
Assist with providing A/R documents needed for audits.  Perform other duties as assigned.",,"Knowledge of the fundamental principles and practices of finance administration.
Working knowledge of accounting theories, accepted practices and procedures.
Working knowledge of computer system functions.
Skill in researching and resolving problems.
Ability to exercise independent judgment in interpreting and applying procedures and practices to specific situations.
Ability to prepare billing or other types of statements and reports.
Ability to make difficult mathematical computations accurately and efficiently.
Ability to analyze computer generated data and make corrective action if needed.
Ability to establish and maintain effective working relationships.
Ability to work effectively under stress.
Ability to organize and prioritize work and communicate clearly and respectfully both verbally and written.",Financial Reporting Specialist,Accounts Receivable Specialist III,Specialist,III,,"Matches the KSACs of Specialist role, but specifically notes supervisory duties, placing this as a Specialist Lead, or the equivlant of a Specialist III."
Spec Truancy School Based,"As it relates to a high school's student population, responsible for ensuring that the legal requirements of MNPS to parents and students for student attendance have been satisfied and that student interventions to improve student attendance have been implemented. Actively works with school based personnel, students and their families and Central Office resources to support student attendance interventions.", Two years of higher education Preferred, A combination of post-secondary education and applicable work experience may be considered Required,"Participates in Support and Intervention meetings.
Monitors student attendance and provides necessary interventions.
Investigates student truancy; conducts and documents home visits, student interviews, parent interviews, etc., creates action plan recommendations to improve attendance at the student and school level.
Notifies parents/guardians of child’s truancy and informs them of their legal responsibility to have their child attend school.
Petitions truant students to Juvenile Court or refers them to Metro Student Attendance Center (MSAC).
Supports schools in their efforts to improve student attendance in a variety of individualized interventions.
Works with MNPS Court Liaison to ensure all petitions are appropriately filed and within time constraints.
Compiles, updates and edits data and notes from investigations into computerized archives, spreadsheets, etc.",,Must be proficient in Microsoft Office Suite software.,Spec Creative Services II,Creative Services Specialist,Specialist,,,"The qualifications for the role do match those of other specialist roles, with a bachelor’s degree in a field relevant to the essential functions required, as well as 2 years of related experience. Furthermore, the essential functions of the position match with the KSACs of a specialist. Subject matter expertise and advanced technical skills are used to operate equipment and technology used in the role. And communication, creativity, and collaboration are all key aspects of almost every essential function."
Coordinator of College Access and Academic Readiness,"The job leads the design and implementation of systems that support student preparation for college admissions testing and postsecondary transitions. This role coordinates strategic efforts to improve ACT and SAT performance across the district while also overseeing readiness initiatives related to the PreACT, PSAT, and ASVAB. The Coordinator supports district and school teams in aligning strategy, advising, test preparation, and planning to improve student outcomes. This work is directly tied to improving Ready Graduate rates, unlocking college admission and scholarship opportunities, and supporting greater student access for the district's University MNPS scholarships. This position is ideal for a collaborative, systems-minded leader who is passionate about improving postsecondary access through academic readiness. The Coordinator ensures that college access and readiness are embedded as part of a sustained, strategic effort to help every student succeed beyond high school.",,,"College Readiness Testing Strategy: Guide strategic integration of ACT, SAT, PreACT, and PSAT into instructional planning, advising systems, and school improvement efforts. Support alignment with school and district goals for college and career readiness.
Strategic School Communication: Serve as the district’s point of contact for ACT/SAT strategy. Communicate regularly with counselors, test coordinators, and school leaders to support a systemwide plan for performance improvement.
Military Readiness Oversight: Lead district-level coordination for ASVAB readiness and promote understanding of military pathways as part of a comprehensive postsecondary readiness strategy.
Tool and Resource Development: Develop and manage access to resources, vendor partnerships, and prep tools that strengthen student readiness for college entrance exams.
Scholarship and Opportunity Alignment: Connect ACT/SAT improvement efforts to scholarship eligibility, postsecondary opportunity expansion, and the broader University MNPS strategy.
Professional Learning Logistics: Coordinate training, materials, and support for school staff involved in college readiness testing strategy, including academic leaders, counselors, and advisors.
Data Collaboration: Partner with CCR Systems and data teams to monitor student participation, performance trends, and equity gaps in college readiness testing. Use insights to inform improvements and planning.
Cross-Team Integration: Work collaboratively with Counseling, Advanced Academics, and CCR Systems to ensure testing strategies are embedded in advising, course sequencing, and transition planning.",,,Coordinator of College Access and Academic Readiness,College Access and Readiness Advisor,Advisor,,,"Advises and supports college access strategies; integrates with readiness infrastructure and student planning.. Demonstrates program leadership and resource allocation responsibilities, distinguishing it from Advisor roles."
Coordinator of High School Counseling and Advising,"The position leads the development, curation, and continuous improvement of tools, systems, and resources that enable high school counselors to deliver high-quality, student-centered services. This role ensures that high school counseling practices are aligned to the Tennessee Model for Comprehensive School Counseling, the district's Tiered Transition Planning framework, the MNPS Portrait of a Graduate, and the required Four-Year and Beyond Plan. By focusing on system design and implementation supports, the Coordinator ensures that counselors are equipped to guide students through academic planning, social-emotional development, postsecondary exploration, and transition readiness—ultimately driving the district's Transitions Focused Outcome. The Coordinator should be a systems-oriented leader with deep knowledge of high school counseling practices and a strong commitment to ensuring every student receives structured, individualized support to graduate ready for their postsecondary path.",,,"Systems Development and Alignment: Design and maintain comprehensive systems and planning structures that support aligned, impactful high school counseling practices across all schools.
Resource and Tool Development: Curate and manage counseling resources, including lesson plans, transition guides, Four-Year and Beyond Plan tools, and advisory supports that promote postsecondary success.
Professional Learning Design: Develop and coordinate training materials and PD logistics to build high school counselor capacity in alignment with district goals, state/national standards, and readiness priorities.
Transition Planning Infrastructure: Ensure schools are equipped to implement high-quality Four-Year and Beyond Plans as the cornerstone of transition support and postsecondary advising.
Data-Informed Improvement: Collaborate with CCR data staff to monitor access, engagement, and effectiveness of high school counseling systems and support continuous improvement.
Cross-Functional Collaboration: Partner with the Counseling and Advising Director, CCR Systems team, and other CCR directors to integrate counseling and advising into broader academic, career, and postsecondary initiatives.
Communication and Dissemination: Ensure school counselors have timely access to updated tools, timelines, and communication protocols that support consistent implementation.",,,Coordinator of High School Counseling and Advising,High School Counseling Advisor,Advisor,,,"Advisory oversight for high school-level counseling and transition planning; non-fiscal leadership.. Demonstrates program leadership and resource allocation responsibilities, distinguishing it from Advisor roles."
Attendance Operations Specialist,"The Manager of Research-Practice Partnerships is responsible for managing and monitoring progress in the establishment and ongoing development of the collaborative MNPS Research Practice Partnership with Vanderbilt University (Peabody College) through project management, systems development, research and communication.",Doctoral Degree  Preferred," Experience with design-based research and evaluation research, as is experience with mixed-methods research and/or experience working with methodologically diverse teams Preferred","Managing project timelines and coordinating day-to-day partnership activities.
Supporting the design and implementation of a partnership data infrastructure, including systems for preparing and sharing data and the execution of data sharing agreement(s).
Supporting the development of a co-designed research agenda, collaborative execution of research activities, and strategic dissemination of research findings.
Supporting the selection, development, implementation and/or analysis of district surveys.
Conducting research and summarizing findings in written and oral reports, both for governmental agencies and local decision making.
Communicating with MNPS, Peabody, and community stakeholders to advance the partnership, including developing new communication channels and facilitating meetings.
Assisting the MNPS Research Review Committee in the review of Research-Practice Partnership proposals to conduct research or evaluation in the district.
Supervising MNPS-based partnership staff (e.g. data analysts).",,"Outstanding skills and background in project management and research design.
Familiarity with relevant laws and regulations regarding conducting research in schools (e.g. FERPA, PPRA) and demonstrated commitment to protecting student privacy. Ability to supervise a small team.
Excellent oral and written communication skills and ability to manage and prioritize multiple tasks are required.
The candidate should be competent with data management and statistical analysis software (preferably SPSS).",Attendance Operations Specialist,Coordinator Research-Practice Partnerships,Coordinator,,,"Matches the Coordinator KSACs, including Project Management, Task Delegation, and Resource Allocation. "
Analyst for Compliance and Grants,"The rolents supports the effective and compliant implementation of college and career readiness initiatives by monitoring grant requirements, managing reporting processes, and ensuring alignment to local, state, and federal regulations. This role plays a critical function in supporting the district's Career and Technical Education (CTE) program, with a primary focus on Perkins V compliance, while also supporting other CCR-related grants and initiatives. The analyst must be highly skilled in collecting, managing, and analyzing data to support program fidelity, track outcomes, and inform decision-making. This Analyst should be a detail-oriented, analytical professional who can manage complex data and compliance processes while supporting the district's broader vision for equity, access, and student readiness.",,,"Grant Compliance Oversight: Ensure district compliance with Perkins V and other relevant grant requirements, including programmatic, fiscal, and reporting components.
Data Collection and Management: Gather, organize, and validate data related to student enrollment, program participation, credential attainment, and other key indicators. Work with CCR data and systems teams to ensure accurate and timely reporting.
Monitoring and Documentation: Develop and maintain tracking tools and documentation systems that demonstrate program implementation and compliance.
Reporting and Submission: Prepare and submit required reports for state and federal entities. Ensure accuracy, alignment, and timeliness in collaboration with CCR leadership and district grant offices.
Cross-Functional Collaboration: Work closely with the Director of Career Academies, CTE Coordinator, CCR Systems team, and other relevant departments to align data practices and grant-funded initiatives.
Audit and Monitoring Support: Prepare documentation and support district readiness for state and federal audits, reviews, or technical assistance visits.
Funding Alignment and Impact Support: Assist in evaluating the effectiveness of grant-funded initiatives and ensure that investments align with intended CCR outcomes.
Technical Assistance: Serve as a resource to school-based and central office teams on compliance expectations, allowable use of funds, and documentation protocols.",,,Analyst for Compliance and Grants,Compliance Analyst II,Analyst,II,,Grant compliance and tracking; solid Level II. Aligned with Analyst KSACs; role focused primarily on data development and reporting.
Physical Therapy Support Specialist,"The Coordinator of Advanced Academics supports the districtwide implementation of rigorous academic programming, including Dual Enrollment (DE), Advanced Placement (AP), International Baccalaureate (IB), Cambridge AICE, and honors courses. This role ensures that educators and school leaders have the resources, tools, and support they need to offer accessible, high-quality instruction in advanced courses. The Coordinator plays a key role in supporting the development of strong honors classes that serve as an on-ramp to Early Postsecondary Opportunities (EPSOs), and collaborates with other CCR and school-based staff to increase student participation and success in advanced academics. This position requires a collaborative, detail-oriented leader who is committed to expanding access to challenging coursework and increasing student success in advanced academic pathways. The Coordinator ensures that honors and advanced programs are implemented effectively and aligned with the district's college and career readiness goals.",Bachelor's Degree from an accredited institution of higher learning Required, A preferred candidate will have multiple program knowledge,"Program Coordination: Maintain and manage resources that support implementation of DE, AP, IB, AICE, and honors programming, including program maps, course guidance, and aligned instructional tools.
Data and Program Monitoring Collaboration: Collaborate with CCR Systems and data staff to support monitoring of enrollment, participation, and student outcomes in advanced academics to drive continuous improvement and promote equity.
Instructional Support: Coordinate the distribution and support of curriculum resources and academic supports to help ensure consistent delivery of advanced coursework aligned with national and state expectations.
Demonstrate Proactive Leadership: Identify areas for growth or system refinement and initiate improvements without prompting; serve as a thought partner and problem-solver in advancing the vision for advanced academics across the district.
Manage Resources for Program Implementation: Collaborate with the Director of Advanced Academics to plan and manage local, grant, and other program-specific budgets to ensure timely, efficient, and impactful implementation of advanced academic programs.
School Support: Serve as a primary point of contact for advanced academics implementation questions from teachers, counselors, and school leaders. Provide timely, practical support aligned with instructional and program expectations.
Honors and EPSO Pathway Support: Support the development of strong, aligned honors pathways that prepare students for participation and success in EPSOs. Identify and promote strategies to build student confidence and readiness.
Communication and Training: Provide clear, consistent communication to school-based staff regarding timelines, program updates, assessment logistics, and professional learning opportunities.
Collaboration: Partner with the Advanced Academics Coach, Director of Advanced Academics, and Counseling staff to ensure programs are equitably implemented and well-aligned with advising and student planning systems.
Professional Learning Logistics: Support the coordination and delivery of professional development aligned to advanced academic instruction and program implementation.",,"Microsoft office, Excel Medium
Project management Medium
Resource allocation Medium
Communication High
Problem-Solving High
Strategic Planning Medium
Adaptability High
Critical Thinking High",Physical Therapy Support Specialist,Advanced Academics Coordinator,Coordinator,,,"Matches the KSACs for Coordinator, including Project Management, Task Delegation, Team Coordination, and Budget Management."
Data Specialist I,"The Music Therapist provides music therapy sessions to assigned students, utilizing clinical and evidence-based assessments and music interventions to accomplish individualized goals. The Music therapist completes consultations, assessments, treatment plans and session plans with developmental and academic standards in place.","Master's Degree or additional degrees in music therapy, special education or related field  Preferred",1-3 years school system music therapy experience  Preferred,"Travels daily to assigned schools to deliver music therapy services to specific students as outlined in their IEPs.
Maintains and provides daily documentation through data within domain areas in the IEP.
Promotes a positive classroom environment through well delivered therapeutic interventions.
Provides music therapy to students as outlined in eligible studentsâ€™ Individual Education Programs.
Participates in IEP meetings and suggests if student is eligible for music therapy based on data and collaboration with IEP team members.
Maintains up to date record keeping documenting progress on IEP goals and updates IEP goals and progress reports as required.
Collaborates with school teams regarding individual needs of students that the music therapist serves in addition with consulting with school teams for those students who do not have music therapy as a service.
Maintains a schedule to ensure all students are receiving services.
Provides professional learning to other educators and classroom support throughout the district."," Valid certification from the Certification Board for Music Therapists. MTBC (Music Therapist-Board Certified)  Required
Teaching Certification/License Instrumental/General Music K-12 or Vocal/General Music K-12 endorsement  Required","Written and oral communication.
Classroom management skills.
Excellent organizational skills.
Knowledge of and ability to use various computer programs such as word processing, database, spreadsheet, calendar and email, and current music programs.",Data Specialist I,Music Coach,Coach,,,"Matches Coach KSACs, including Academic and Pedagogical Expertise, Goal Setting and Planning, and Learning Strategics and Techniques. Does not meet the minimum requirements for a Therapist. "
